site_no,spot_no,year,date,bleaching_all,env_group,lat,dhw_logger,dhw_mur_raw,dhw_mur_corr,dhw_mur_corr_adj,days30_logger,days30_mur_raw,days30_mur_corr,bleaching_binary,dhw_coraltemp_raw,dhw_coraltemp_corr,days30_coraltemp_raw,days30_coraltemp_corr,lat_band
12,40,2020,2020-12-17,0.0,閉鎖系,24.327889,,,,,,,,0,0.0,0.0,0.0,0.0,24-26°N (八重山)
12,40,2021,2021-09-01,0.0,閉鎖系,24.327889,0.2524447004608292,0.182281105990782,0.4679953917050667,0.6822811059907841,25.0,9.0,9.0,0,0.043260368663593694,0.04326036866359522,3.0,0.0,24-26°N (八重山)
12,40,2022,2022-11-09,10.0,閉鎖系,24.327889,0.0,0.0,0.0,0.0,22.0,23.0,23.0,0,0.0,0.0,22.0,21.0,24-26°N (八重山)
12,40,2023,2023-09-14,0.0,閉鎖系,24.327889,0.4648041474654378,0.3163364055299514,0.8802764976958473,1.308847926267282,30.0,12.0,12.0,0,0.15732718894008915,0.15732718894009526,8.0,0.0,24-26°N (八重山)
12,40,2024,2024-10-17,5.0,閉鎖系,24.327889,1.9452373271889376,1.679516129032248,3.3366589861750993,4.5795161290322595,65.0,52.0,52.0,0,1.9609677419354767,1.960967741935493,54.0,43.0,24-26°N (八重山)
13,42,2020,2020-11-13,52.5,外洋系,24.342278,0.0,0.0,0.0,0.0236059907834104,14.0,13.0,13.0,1,0.0,0.0,7.0,3.0,24-26°N (八重山)
13,42,2021,2021-11-14,80.0,外洋系,24.342278,,,,,,,,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
13,42,2022,2022-10-24,92.5,外洋系,24.342278,0.2466336405529955,0.4258525345622124,0.4258525345622124,0.5972811059907842,38.0,37.0,37.0,1,0.27861751152073716,0.27861751152073716,38.0,37.0,24-26°N (八重山)
13,42,2023,2023-11-14,47.5,外洋系,24.342278,0.0,0.0,0.0,0.0936751152073738,24.0,9.0,9.0,1,0.0,0.0,9.0,0.0,24-26°N (八重山)
13,42,2024,2024-11-19,82.5,外洋系,24.342278,0.0,0.0,0.0,0.0,37.0,27.0,27.0,1,0.0,0.0,28.0,22.0,24-26°N (八重山)
13,64,2020,2020-11-06,20.5,外洋系,24.348278,0.0,0.0057718894009214,0.0057718894009214,0.0886866359447005,8.0,14.0,14.0,1,0.0,0.0,9.0,4.0,24-26°N (八重山)
13,64,2021,2021-10-29,42.5,外洋系,24.348278,,,,,,,,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
13,64,2022,2022-10-23,90.0,外洋系,24.348278,0.2755276497695839,0.4317165898617503,0.4317165898617503,0.6460023041474651,37.0,38.0,38.0,1,0.3665898617511526,0.3665898617511526,39.0,38.0,24-26°N (八重山)
13,64,2023,2023-11-06,25.0,外洋系,24.348278,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1,0.0,0.0,5.0,0.0,24-26°N (八重山)
13,64,2024,2024-10-27,100.0,外洋系,24.348278,1.1530161290322536,0.6194354838709663,0.6194354838709663,1.3352649769585254,28.0,41.0,41.0,1,1.1610253456221211,1.1610253456221211,44.0,38.0,24-26°N (八重山)
13,72,2020,2020-10-28,25.0,外洋系,24.369806,0.039827188940094,0.0,0.0,0.0554147465437781,8.0,18.0,18.0,1,0.0,0.0,10.0,4.0,24-26°N (八重山)
13,72,2021,2021-10-31,24.0,外洋系,24.369806,,,,,,,,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
13,72,2022,2022-10-22,80.0,外洋系,24.369806,0.6916094470046151,0.7619585253456204,0.7619585253456204,1.019101382488478,34.0,39.0,39.0,1,0.515898617511521,0.515898617511518,40.0,39.0,24-26°N (八重山)
13,72,2023,2023-11-05,22.5,外洋系,24.369806,0.0039850230414753,0.0,0.0,0.0,0.0,8.0,8.0,1,0.0,0.0,7.0,0.0,24-26°N (八重山)
13,72,2024,2024-10-17,82.5,外洋系,24.369806,1.9235357142857443,0.9772695852534484,0.9772695852534484,2.022684331797229,41.0,47.0,47.0,1,1.466036866359449,1.4660368663594359,51.0,42.0,24-26°N (八重山)
14,77,2020,2020-11-16,72.5,閉鎖系,24.291417,0.0,0.0,0.0,0.0,11.0,11.0,11.0,1,0.0,0.0,5.0,1.0,24-26°N (八重山)
14,77,2021,2021-11-03,76.5,閉鎖系,24.291417,,,,,,,,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
14,77,2022,2022-10-25,87.5,閉鎖系,24.291417,0.2420334101382479,0.3741820276497698,0.5456105990783406,0.6741820276497695,38.0,37.0,37.0,1,0.20567972350230437,0.20567972350230437,37.0,36.0,24-26°N (八重山)
14,77,2023,2023-11-12,77.5,閉鎖系,24.291417,0.0,0.0,0.0913248847926258,0.2198963133640547,20.0,12.0,12.0,1,0.0,0.0,9.0,0.0,24-26°N (八重山)
