site_no,spot_no,year,survey_date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
16,103,2021,2021-10-24,10,75,75,1.5,1
16,105,2021,2021-10-25,20,75,76,2,2
17,120,2021,2021-11-04,70,23,20.5,1,1
17,121,2021,2021-11-04,50,15.5,15.5,1,1
17,122,2021,2021-11-04,70,50,42,2,1.5
17,123,2021,2021-11-04,2.5,35.5,32.5,0.5,0.5
17,124,2021,2021-11-04,60,15.5,15.5,1,1.5
17,125,2021,2021-11-04,70,16,13.5,0.5,1
17,126,2021,2021-11-04,70,21.5,16.5,1.5,1
17,126',2021,2021-11-04,50,25.5,,0,
17,127,2021,2021-11-07,30,45,75,0,0
17,127',2021,2021-11-07,30,86.5,86,1.5,2
17,129,2021,2021-11-07,90,1.5,,0.5,
17,130,2021,2021-11-07,60,55,55,1,1
17,131,2021,2021-11-07,20,75,,0,
17,132,2021,2021-11-07,20,69.5,75,1,1.5
17,133,2021,2021-10-24,50,76.5,63.5,2,1.5
17,134,2021,2021-10-24,40,75,,0,
17,135,2021,2021-10-24,50,77.5,80,2,1.5
17,136,2021,2021-10-24,40,60.5,60.5,1.5,1.5
17,137,2021,2021-10-24,10,62.5,55,2,1.5
17,138,2021,2021-11-07,40,80,78.5,1.5,1
17,139,2021,2021-11-07,20,32.5,27.5,1,1
17,141,2021,2021-11-04,70,15.5,15.5,1,1
17,142,2021,2021-11-04,70,13.5,18,1,1
18,1,2021,2022-01-18,50,0.5,0.5,0.5,0.5
18,2,2021,2022-01-19,60,0.5,0.5,0.5,0.5
18,3,2021,2022-01-18,70,0.5,0.5,0.5,0.5
18,4,2021,2022-01-18,70,0.5,0.5,0.5,0.5
18,5,2021,2022-01-19,60,0.5,0,0.5,0
18,6,2021,2022-01-18,30,0.5,0.5,0.5,0.5
18,7,2021,2022-01-18,30,0.5,0,0,0
18,8,2021,2022-01-18,60,0.5,0.5,0.5,0.5
18,9,2021,2022-01-17,30,0.5,0.5,0.5,0.5
18,10,2021,2022-01-17,30,0.5,0.5,0.5,0.5
18,11,2021,2022-01-17,20,0.5,0,0,0
18,12,2021,2022-01-17,70,2.5,0.5,2.5,0.5
19,1,2021,2021-10-28,2.5,0,0,0,0
19,2,2021,2021-11-04,2.5,0,0,0,0
19,3,2021,2021-11-04,2.5,0,0,0,0
19,4,2021,2021-11-04,2.5,0,0,0,0
19,5,2021,2021-11-30,2.5,0,0,0,0
19,6,2021,2021-11-18,10,0,0,0,0
21,1,2021,2021-12-06,2.5,0,0,0,0
21,2,2021,2022-01-09,50,0,0,0,0
21,3,2021,2022-01-09,20,0,0,0,0
21,4,2021,2021-12-28,10,0,0,0,0
21,5,2021,2021-12-28,70,0,0,0,0
21,6,2021,2021-12-05,20,0,0,0,0
21,7,2021,2021-12-05,10,0,0,0,0
21,8,2021,2022-01-09,50,2.5,2.5,0.5,0.5
21,9,2021,2021-12-07,40,0,0,0,0
21,11,2021,2021-12-15,20,0,0,0,0
21,12,2021,2021-12-13,10,0,0,0,0
21,13,2021,2021-12-11,60,0,0,0,0
21,14,2021,2021-07-10,20,0,0,0,0
21,15,2021,2021-12-07,70,0,0,0,0
21,16,2021,2021-12-17,10,0,0,0,0
21,18,2021,2021-12-15,60,0,0,0,0
22,1,2021,2021-10-19,30,0,0,0,0
22,2,2021,2021-11-05,2.5,0,0,0,0
22,3,2021,2021-11-18,10,0,0,0,0
22,4,2021,2021-11-18,30,0,0,0,0
22,5,2021,2021-11-18,10,0,0,0,0
22,6,2021,2021-11-18,30,0,0,0,0
22,7,2021,2021-05-16,50,0,0,0,0
22,8,2021,2022-01-15,20,0,0,0,0
22,9,2021,2022-01-22,2.5,0,0,0,0
22,10,2021,2021-10-18,30,2.5,0,0,0
22,11,2021,2021-10-18,20,2.5,2.5,0,0
22,12,2021,2021-10-21,30,0,0,0,0
22,13,2021,2021-10-21,30,2.5,2.5,0,0
22,14,2021,2021-10-21,20,0,0,0,0
22,15,2021,2021-10-21,30,2.5,2.5,0,0
22,16,2021,2021-10-21,2.5,0,0,0,0
22,17,2021,2021-11-21,10,2.5,2.5,0,0
22,18,2021,2021-11-21,30,0,0,0,0
22,19,2021,2021-11-21,20,0,0,0,0
22,20,2021,2021-11-21,2.5,0,0,0,0
22,21,2021,2021-10-19,50,0,0,0,0
22,22,2021,2021-10-19,30,0,0,0,0
22,23,2021,2021-10-19,30,0,0,0,0
22,24,2021,2021-10-19,20,0,0,0,0
22,25,2021,2021-10-19,10,0,0,0,0
22,32,2021,2021-08-03,2.5,2.5,0,0,0
22,33,2021,2021-08-03,10,0,0,0,0
22,34,2021,2021-08-03,20,0,0,0,0
22,35,2021,2021-10-30,60,0,0,0,0
22,36,2021,2021-10-30,20,0,0,0,0
22,37,2021,2021-10-30,30,0,0,0,0
22,38,2021,2021-10-30,20,0,0,0,0
23,1,2021,2022-01-09,10,0,0,0,0
23,2,2021,2022-01-09,2.5,0,0,0,0
23,4,2021,2022-01-09,2.5,0,0,0,0
23,5,2021,2021-12-11,10,2.5,0,0,0
23,6,2021,2021-11-13,60,2.5,0,0,0
23,7,2021,2021-11-13,30,2.5,0,0,0
23,9,2021,2021-12-12,2.5,0,0,0,0
23,10,2021,2021-12-12,2.5,2.5,0,0,0
23,11,2021,2021-10-24,2.5,2.5,0,0,0
23,12,2021,2021-10-24,2.5,2.5,0,0,0
23,13,2021,2021-12-22,2.5,0,0,0,0
23,14,2021,2021-12-22,2.5,0,0,0,0
23,15,2021,2021-12-16,60,0,0,0,0
23,16,2021,2021-12-23,50,0,0,0,0
23,17,2021,2021-12-23,30,0,0,0,0
23,18,2021,2021-12-23,2.5,0,0,0,0
24,1,2021,2021-10-15,10,0,0,0,0
24,2,2021,2021-10-15,20,0,0,0,0
24,3,2021,2021-10-15,40,0,0,0,0
24,4,2021,2021-10-15,10,0,0,0,0
24,5,2021,2021-10-08,20,5,5,0,0
24,6,2021,2021-10-27,10,0,0,0,0
24,7,2021,2021-10-08,30,5,5,0,0
24,8,2021,2021-10-08,30,5,5,0,0
24,9,2021,2021-10-08,20,5,5,0,0
24,10,2021,2021-10-27,50,5,5,0,0
24,11,2021,2021-10-22,80,0,0,0,0
24,12,2021,2021-10-27,70,0,0,0,0
24,13,2021,2021-10-22,30,5,5,0,0
24,14,2021,2021-10-22,20,5,5,0,0
24,15,2021,2021-10-27,10,5,5,0,0
26,1,2021,2021-12-16,30,0,0,0,0
26,2,2021,2022-01-11,5,0,0,0,0
26,3,2021,2022-01-11,2.5,0,0,0,0
26,4,2021,2022-01-11,10,0,0,0,0
26,5,2021,2021-12-16,2.5,0,0,0,0
26,6,2021,2021-12-16,2.5,0,0,0,0
26,7,2021,2021-12-21,60,0,0,0,0
