site_no,spot_no,site_name,spot_name,lat,lon,prefecture,landform,substrate,has_logger
5,63,恩納村～残波岬,仲尾干瀬北礁斜面,26.688833,128.068806,沖縄県,礁斜面,岩,False
5,64,恩納村～残波岬,シッピシ礁斜面,26.72775,128.127056,沖縄県,礁斜面,岩・礫,False
5,65,恩納村～残波岬,田嘉里浜西礁斜面,26.722611,128.146833,沖縄県,礁斜面,岩・礫,False
5,66,恩納村～残波岬,ヒキイシ北礁斜面,26.272703,127.686431,沖縄県,礁斜面,岩,False
5,221,恩納村～残波岬,港原ヤッカイビシ,26.663389,127.874139,沖縄県,離礁/礁斜面,岩,False
6,1,水納島・伊是名島・伊平屋島,水納島東,26.646083,127.824389,沖縄県,礁斜面,岩,False
6,2,水納島・伊是名島・伊平屋島,ナカンシ東,26.67775,127.8225,沖縄県,礁斜面,岩,False
6,3,水納島・伊是名島・伊平屋島,伊江島西,26.719333,127.742806,沖縄県,礁斜面,岩,False
6,4,水納島・伊是名島・伊平屋島,伊江島イシャラ原東,26.722917,127.833556,沖縄県,礁斜面,岩,False
6,5,水納島・伊是名島・伊平屋島,伊江島湧出北,26.734722,127.789306,沖縄県,礁斜面,岩,True
6,6,水納島・伊是名島・伊平屋島,水納島北,26.658722,127.810111,沖縄県,礁斜面,岩,False
6,7,水納島・伊是名島・伊平屋島,伊是名島内花橋北,26.955,127.927,沖縄県,礁斜面,岩,False
6,8,水納島・伊是名島・伊平屋島,伊是名島アギギタラ,26.91,127.942,沖縄県,礁斜面,岩,False
6,9,水納島・伊是名島・伊平屋島,水納島西,26.652861,127.804722,沖縄県,礁斜面,岩,False
6,10,水納島・伊是名島・伊平屋島,伊江島フナズ原南,26.703167,127.776972,沖縄県,礁斜面,岩,False
6,11,水納島・伊是名島・伊平屋島,伊是名島第一号立標,26.907917,127.938083,沖縄県,礁斜面,岩,False
6,12,水納島・伊是名島・伊平屋島,伊江島西旧,26.72325,127.742111,沖縄県,礁斜面,岩,False
6,13,水納島・伊是名島・伊平屋島,ナカンシ西礁斜面,26.6744,127.8156,沖縄県,礁斜面,岩,False
7,1,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,安室南,26.20175,127.317667,沖縄県,礁原,サンゴ岩,False
7,2,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,座間味阿護の浦,26.237278,127.320056,沖縄県,"内湾
(離礁）","砂：礫・岩(サンゴ）
＝7：3",False
7,3,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,座間味ニタ,26.237083,127.291056,沖縄県,礁原,サンゴ岩,False
7,4,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,嘉比南,26.214611,127.287222,沖縄県,礁原,サンゴ岩,False
7,5,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,阿嘉ニシハマ,26.202194,127.289306,沖縄県,"礁原～
礁斜面","サンゴ岩と礫：砂
＝8：2",True
7,6,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,阿嘉クシバル,26.203139,127.267167,沖縄県,"礁原～
礁斜面",サンゴ岩,False
7,7,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,阿嘉アグ,26.194667,127.272611,沖縄県,礁原,サンゴ岩,False
7,8,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,阿嘉マエノハマ,26.1865,127.280694,沖縄県,礁原,"岩：礫
＝7：3",True
7,9,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,屋嘉比東,26.211611,127.251306,沖縄県,"礁原～
礁斜面",サンゴ岩,False
7,10,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,久場北西,26.176917,127.232611,沖縄県,礁斜面,岩,False
7,11,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,渡嘉敷アリガー,26.205333,127.348083,沖縄県,礁斜面,サンゴ岩,False
7,12,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,渡嘉敷アハレン,26.173,127.34075,沖縄県,礁斜面,サンゴ岩,False
8,1,大東諸島,本場階段前,25.873767,131.249633,沖縄県,,,False
8,2,大東諸島,ﾔｷﾞ道(岸壁)前,25.86115,131.219867,沖縄県,,,False
8,3,大東諸島,塩屋プール前,25.827983,131.21485,沖縄県,,,False
8,4,大東諸島,塩屋のﾊﾅ,25.823283,131.212133,沖縄県,,,False
8,5,大東諸島,ｱｶﾊﾞﾏ（銅浜）,25.814033,131.248033,沖縄県,,,False
8,6,大東諸島,亀池港前,25.812767,131.228067,沖縄県,,,False
