site_no,spot_no,site_name,year,date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora,landform,env_type,lat,lon,logger_start,logger_end,lookback_start
14,82,カタグァー周辺,2024,2024-11-21,,99.0,100.0,72.0,93.5,礁池,閉鎖系,24.252139,124.111,2019-10-12,2024-11-22,2024-08-29
15,22,シモビシ～仲間崎沖,2020,2020-11-08,10.0,63.5,43.0,2.0,0.5,離礁,外洋系,24.301194,123.999611,2019-10-23,2024-11-20,2020-08-16
15,22,シモビシ～仲間崎沖,2021,2021-10-30,20.0,72.5,68.0,3.0,3.0,離礁,外洋系,24.301194,123.999611,2019-10-23,2024-11-20,2021-08-07
15,22,シモビシ～仲間崎沖,2022,2022-10-24,10.0,92.5,97.5,27.5,35.0,離礁,外洋系,24.301194,123.999611,2019-10-23,2024-11-20,2022-08-01
15,22,シモビシ～仲間崎沖,2023,2023-11-11,20.0,40.0,70.0,0.0,1.5,離礁,外洋系,24.301194,123.999611,2019-10-23,2024-11-20,2023-08-19
15,22,シモビシ～仲間崎沖,2024,2024-11-19,10.0,87.5,92.5,37.5,50.0,離礁,外洋系,24.301194,123.999611,2019-10-23,2024-11-20,2024-08-27
15,104,シモビシ～仲間崎沖,2020,2020-10-31,10.0,50.5,34.5,1.5,0.5,離礁,外洋系,24.263861,123.938222,2019-10-17,2024-10-29,2020-08-08
15,104,シモビシ～仲間崎沖,2021,2021-10-27,10.0,81.5,73.5,1.5,1.0,離礁,外洋系,24.263861,123.938222,2019-10-17,2024-10-29,2021-08-04
15,104,シモビシ～仲間崎沖,2022,2022-11-15,10.0,92.5,97.5,27.5,65.0,離礁,外洋系,24.263861,123.938222,2019-10-17,2024-10-29,2022-08-23
15,104,シモビシ～仲間崎沖,2023,2023-11-09,10.0,60.0,50.0,0.0,0.0,離礁,外洋系,24.263861,123.938222,2019-10-17,2024-10-29,2023-08-17
15,104,シモビシ～仲間崎沖,2024,2024-10-28,10.0,95.0,100.0,30.0,50.0,離礁,外洋系,24.263861,123.938222,2019-10-17,2024-10-29,2024-08-05
16,95,黒島～新城島,2020,2020-10-26,50.0,74.5,79.0,2.5,2.0,礁斜面,外洋系,24.211111,124.008306,2019-10-07,2024-10-22,2020-08-03
16,95,黒島～新城島,2021,2021-10-25,50.0,69.0,70.5,2.0,2.0,礁斜面,外洋系,24.211111,124.008306,2019-10-07,2024-10-22,2021-08-02
16,95,黒島～新城島,2022,2022-11-06,50.0,72.5,75.0,5.0,7.5,礁斜面,外洋系,24.211111,124.008306,2019-10-07,2024-10-22,2022-08-14
16,95,黒島～新城島,2023,2023-10-27,60.0,30.0,22.5,0.0,0.0,礁斜面,外洋系,24.211111,124.008306,2019-10-07,2024-10-22,2023-08-04
16,95,黒島～新城島,2024,2024-10-21,40.0,97.5,100.0,37.5,67.5,礁斜面,外洋系,24.211111,124.008306,2019-10-07,2024-10-22,2024-07-29
17,126,崎山湾（西表島西部）周辺,2020,2020-10-29,70.0,30.0,31.0,3.0,4.0,礁斜面,外洋系,24.439778,123.774528,2019-11-17,2024-10-19,2020-08-06
17,126,崎山湾（西表島西部）周辺,2021,2021-11-04,70.0,21.5,16.5,1.5,1.0,礁斜面,外洋系,24.439778,123.774528,2019-11-17,2024-10-19,2021-08-12
17,126,崎山湾（西表島西部）周辺,2022,2022-11-09,30.0,90.0,91.0,55.0,67.5,礁斜面,外洋系,24.439778,123.774528,2019-11-17,2024-10-19,2022-08-17
17,126,崎山湾（西表島西部）周辺,2023,2023-11-04,40.0,32.5,27.5,0.5,1.0,礁斜面,外洋系,24.439778,123.774528,2019-11-17,2024-10-19,2023-08-12
17,126,崎山湾（西表島西部）周辺,2024,2024-10-18,30.0,92.5,95.0,20.0,17.5,礁斜面,外洋系,24.439778,123.774528,2019-11-17,2024-10-19,2024-07-26
17,131,崎山湾（西表島西部）周辺,2020,2020-11-07,20.0,40.0,0.0,60.0,,礁斜面,外洋系,24.323056,123.673556,2019-11-17,2024-10-16,2020-08-15
17,131,崎山湾（西表島西部）周辺,2021,2021-11-07,20.0,75.0,,0.0,,礁斜面,外洋系,24.323056,123.673556,2019-11-17,2024-10-16,2021-08-15
