year,site_no,spot_no,site_name,spot_name,survey_date,coral_cover_pct,bleaching_all_pct,bleaching_acropora_pct,mortality_all_pct,mortality_acropora_pct
2021,14,83,カタグァー周辺,ウマノハピー内縁④,2021-11-01,2.5,40,28.5,1,1
2021,14,84,カタグァー周辺,ウマノハピー外縁①,2021-10-26,30,61.5,46.5,1.5,1.5
2021,14,87,カタグァー周辺,アーサーピー内縁①,2021-11-13,20,53.5,46.5,1,1
2021,14,88,カタグァー周辺,アーサーピー内縁②,2021-11-14,10,67.5,60,1,1
2021,14,89,カタグァー周辺,アーサーピー内縁③,2021-11-14,2.5,51,45.5,1,1
2021,14,90,カタグァー周辺,アーサーピー内縁④,2021-11-14,10,46,35.5,1,0.5
2021,14,93,カタグァー周辺,ウマノハピー外縁②,2021-10-26,2.5,54,56,1.5,1
2021,14,109,カタグァー周辺,竹富島南沖離礁①,2021-11-16,20,46,26,1,2
2021,14,114,カタグァー周辺,竹富島南沖離礁②,2021-11-01,10,77,76.5,1.5,1
2021,14,115,カタグァー周辺,ウマノハピー礁内④,2021-11-03,10,72.5,65,1.5,1.5
2021,15,4,シモビシ～仲間崎沖,黒島北沖離礁①,2021-10-28,10,60,70,1,1
2021,15,5,シモビシ～仲間崎沖,黒島北沖離礁②,2021-10-28,10,75,82.5,0.5,0.5
2021,15,19,シモビシ～仲間崎沖,黒島北沖離礁③,2021-10-28,20,72.5,65,1.5,1.5
2021,15,20,シモビシ～仲間崎沖,黒島北沖離礁④,2021-10-28,20,62.5,71.5,1.5,2.5
2021,15,22,シモビシ～仲間崎沖,黒島ー小浜島間離礁①,2021-10-30,20,72.5,68,3,3
2021,15,23,シモビシ～仲間崎沖,小浜島南東岸礁縁,2021-11-02,2.5,70,60,0,0
2021,15,24,シモビシ～仲間崎沖,小浜島南東沖礁縁①,2021-11-02,20,70,55.5,2.5,1
2021,15,25,シモビシ～仲間崎沖,小浜島南東沖礁縁②,2021-11-02,10,35,45,1.5,1.5
2021,15,37,シモビシ～仲間崎沖,黒島ー西表島間離礁①,2021-10-22,50,55,50,1,1
2021,15,38,シモビシ～仲間崎沖,黒島ー西表島間離礁②,2021-10-28,10,70.5,65,3,3
2021,15,39,シモビシ～仲間崎沖,黒島ー小浜島間離礁②,2021-10-30,20,82.5,71.5,6.5,3
2021,15,40,シモビシ～仲間崎沖,小浜島南東沖離礁①,2021-11-02,30,57.5,58,1,1
2021,15,41,シモビシ～仲間崎沖,小浜島南東沖離礁②,2021-11-02,20,55.5,44.5,1.5,1
2021,15,58,シモビシ～仲間崎沖,西表島東沖離礁①,2021-10-22,70,62.5,65,1.5,2.5
2021,15,59,シモビシ～仲間崎沖,西表島東沖離礁②,2021-10-22,50,67.5,72.5,2,4.5
2021,15,60,シモビシ～仲間崎沖,西表島東沖離礁③,2021-10-22,70,78,79,2,2.5
2021,15,61,シモビシ～仲間崎沖,西表島東岸礁池内,2021-10-22,10,77.5,,2.5,
2021,15,66,シモビシ～仲間崎沖,小浜島南礁縁,2021-10-29,20,66.5,72.5,1.5,2.5
2021,15,104,シモビシ～仲間崎沖,新城島ー西表島間離礁②,2021-10-27,10,81.5,73.5,1.5,1
2021,15,106,シモビシ～仲間崎沖,黒島北西沖離礁,2021-10-28,20,66.5,60,1.5,1.5
2021,15,107,シモビシ～仲間崎沖,小浜島南沖離礁,2021-10-30,60,41.5,44,3,2.5
2021,15,108,シモビシ～仲間崎沖,ヨナラ水道南沖離礁,2021-10-22,60,60,65,2.5,2.5
2021,15,111,シモビシ～仲間崎沖,小浜島南東沖離礁③,2021-11-02,30,58.5,63,1,1
2021,15,113,シモビシ～仲間崎沖,西表島仲間崎沖離礁,2021-10-27,20,86,85.5,0,0
2021,16,1,黒島～新城島,ウラビシ南礁縁,2021-10-26,2.5,82.5,73.5,2,1
2021,16,2,黒島～新城島,ウラビシ東礁縁,2021-10-26,30,67.5,60.5,1.5,1
2021,16,3,黒島～新城島,ウラビシ北東礁縁,2021-10-26,10,53.5,56,1,1
2021,16,6,黒島～新城島,黒島北西岸礁縁,2021-10-25,10,70,70,1.5,1.5
2021,16,7,黒島～新城島,黒島西岸礁池内,2021-11-06,20,85,86.5,2,2
2021,16,8,黒島～新城島,黒島南西岸礁池内①,2021-11-06,10,92.5,87.5,5.5,10
2021,16,9,黒島～新城島,黒島南岸礁池内,2021-11-06,60,52.5,47.5,1,4.5
2021,16,10,黒島～新城島,黒島南東岸礁池内①,2021-11-06,30,51,46,1,3
2021,16,11,黒島～新城島,黒島北東岸礁池内,2021-10-25,2.5,61,55.5,1.5,1
2021,16,12,黒島～新城島,新城島上地北岸離礁,2021-10-27,20,62.5,60,1.5,1.5
2021,16,13,黒島～新城島,マイビシ海中公園地区,2021-10-27,20,66,61,1,1
2021,16,14,黒島～新城島,新城島上地西岸,2021-10-27,2.5,69,70,1.5,1.5
2021,16,15,黒島～新城島,新城島間水路部,2021-10-21,20,76.5,81,3,3
2021,16,16,黒島～新城島,新城島下地西岸礁池内①,2021-10-21,10,65,65,1.5,2.5
2021,16,17,黒島～新城島,新城島下地西岸礁池内②,2021-10-21,10,67.5,67.5,1,1
