プロット タイトル: site12_spot040_2020,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054373, SEN S/N: 20054373)",カプラー取り外し (LGR S/N: 20054373),ファイルの終わり (LGR S/N: 20054373)
443,10/21/19 12:00:00 午後,25.283,,
444,10/21/19 12:00:00 午後,25.065,,
445,10/21/19 12:00:00 午後,24.653,,
446,10/21/19 12:00:00 午後,24.847,,
447,10/21/19 12:00:00 午後,25.065,,
448,10/21/19 12:00:00 午後,25.501,,
449,10/21/19 12:00:00 午後,25.501,,
450,10/21/19 12:00:00 午後,25.525,,
451,10/21/19 12:00:00 午後,25.428,,
452,10/21/19 12:00:00 午後,25.38,,
453,10/21/19 12:00:00 午後,25.186,,
454,10/21/19 12:00:00 午後,25.137,,
455,10/21/19 12:00:00 午後,25.258,,
456,10/21/19 12:00:00 午後,25.501,,
457,10/21/19 12:00:00 午後,25.453,,
458,10/21/19 12:00:00 午後,25.768,,
459,10/21/19 12:00:00 午後,25.768,,
460,10/21/19 12:00:00 午後,26.158,,
461,10/21/19 12:00:00 午後,26.109,,
462,10/21/19 12:00:00 午後,25.963,,
463,10/21/19 12:00:00 午後,25.793,,
464,10/21/19 12:00:00 午後,25.598,,
465,10/21/19 12:00:00 午後,25.38,,
466,10/21/19 12:00:00 午後,25.089,,
467,10/21/19 12:00:00 午後,24.895,,
468,10/21/19 12:00:00 午後,24.702,,
469,10/21/19 12:00:00 午後,24.436,,
470,10/21/19 12:00:00 午後,24.388,,
471,10/21/19 12:00:00 午後,24.146,,
472,10/21/19 12:00:00 午後,24.968,,
473,10/21/19 12:00:00 午後,25.574,,
474,10/21/19 12:00:00 午後,25.647,,
475,10/21/19 12:00:00 午後,25.623,,
476,10/21/19 12:00:00 午後,25.598,,
477,10/21/19 12:00:00 午後,25.477,,
478,10/21/19 12:00:00 午後,25.089,,
479,10/21/19 12:00:00 午後,24.702,,
480,10/21/19 12:00:00 午後,25.04,,
481,10/21/19 12:00:00 午後,25.04,,
482,10/21/19 12:00:00 午後,25.38,,
483,10/21/19 12:00:00 午後,24.823,,
484,10/21/19 12:00:00 午後,26.353,,
485,10/21/19 12:00:00 午後,26.256,,
486,10/21/19 12:00:00 午後,26.085,,
487,10/21/19 12:00:00 午後,26.036,,
488,10/21/19 12:00:00 午後,25.939,,
489,10/21/19 12:00:00 午後,25.841,,
490,10/21/19 12:00:00 午後,25.598,,
491,10/21/19 12:00:00 午後,25.647,,
492,10/21/19 12:00:00 午後,25.428,,
493,10/21/19 12:00:00 午後,25.04,,
494,10/21/19 12:00:00 午後,24.944,,
495,10/21/19 12:00:00 午後,24.944,,
496,10/21/19 12:00:00 午後,24.75,,
497,10/21/19 12:00:00 午後,24.992,,
498,10/21/19 12:00:00 午後,25.623,,
499,10/21/19 12:00:00 午後,25.671,,
500,10/21/19 12:00:00 午後,25.647,,
501,10/21/19 12:00:00 午後,25.598,,
502,10/21/19 12:00:00 午後,25.695,,
503,10/21/19 12:00:00 午後,25.623,,
504,10/21/19 12:00:00 午後,25.671,,
505,10/21/19 12:00:00 午後,26.182,,
506,10/21/19 12:00:00 午後,26.231,,
507,10/21/19 12:00:00 午後,26.231,,
508,10/21/19 12:00:00 午後,26.012,,
509,10/21/19 12:00:00 午後,26.28,,
510,10/21/19 12:00:00 午後,25.987,,
511,10/21/19 12:00:00 午後,25.817,,
512,10/21/19 12:00:00 午後,25.768,,
513,10/21/19 12:00:00 午後,25.695,,
514,10/21/19 12:00:00 午後,25.574,,
515,10/21/19 12:00:00 午後,25.501,,
516,10/21/19 12:00:00 午後,25.404,,
517,10/21/19 12:00:00 午後,25.186,,
518,10/21/19 12:00:00 午後,25.186,,
519,10/21/19 12:00:00 午後,24.944,,
520,10/21/19 12:00:00 午後,24.774,,
521,10/21/19 12:00:00 午後,24.557,,
522,10/21/19 12:00:00 午後,25.234,,
523,10/21/19 12:00:00 午後,25.477,,
524,10/21/19 12:00:00 午後,25.477,,
525,10/21/19 12:00:00 午後,25.477,,
526,10/21/19 12:00:00 午後,25.525,,
527,10/21/19 12:00:00 午後,25.501,,
528,10/21/19 12:00:00 午後,25.695,,
529,10/21/19 12:00:00 午後,25.793,,
530,10/21/19 12:00:00 午後,25.768,,
531,10/21/19 12:00:00 午後,25.647,,
532,10/21/19 12:00:00 午後,25.647,,
533,10/21/19 12:00:00 午後,25.866,,
534,10/21/19 12:00:00 午後,25.817,,
535,10/21/19 12:00:00 午後,25.623,,
536,10/21/19 12:00:00 午後,25.525,,
537,10/21/19 12:00:00 午後,25.453,,
538,10/21/19 12:00:00 午後,25.38,,
539,10/21/19 12:00:00 午後,25.234,,
540,10/21/19 12:00:00 午後,25.186,,
541,10/21/19 12:00:00 午後,24.944,,
542,10/21/19 12:00:00 午後,24.653,,
543,10/21/19 12:00:00 午後,24.774,,
544,10/21/19 12:00:00 午後,24.629,,
545,10/21/19 12:00:00 午後,24.508,,
546,10/21/19 12:00:00 午後,24.146,,
547,10/21/19 12:00:00 午後,25.234,,
548,10/21/19 12:00:00 午後,25.331,,
549,10/21/19 12:00:00 午後,25.38,,
550,10/21/19 12:00:00 午後,25.453,,
551,10/21/19 12:00:00 午後,25.55,,
552,10/21/19 12:00:00 午後,25.671,,
553,10/21/19 12:00:00 午後,25.89,,
554,10/21/19 12:00:00 午後,26.109,,
555,10/21/19 12:00:00 午後,25.866,,
556,10/21/19 12:00:00 午後,25.793,,
557,10/21/19 12:00:00 午後,26.109,,
558,10/21/19 12:00:00 午後,25.793,,
559,10/21/19 12:00:00 午後,25.647,,
560,10/21/19 12:00:00 午後,25.55,,
561,10/21/19 12:00:00 午後,25.477,,
562,10/21/19 12:00:00 午後,25.428,,
563,10/21/19 12:00:00 午後,25.404,,
564,10/21/19 12:00:00 午後,25.453,,
565,10/21/19 12:00:00 午後,25.428,,
566,10/21/19 12:00:00 午後,25.065,,
567,10/21/19 12:00:00 午後,24.871,,
568,10/21/19 12:00:00 午後,24.798,,
569,10/21/19 12:00:00 午後,24.823,,
