プロット タイトル: site01_spot005(-25)_2021,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054307, SEN S/N: 20054307)"
31068,07/31/21 02:00:00 午前,27.505
31069,07/31/21 03:00:00 午前,27.604
31070,07/31/21 04:00:00 午前,27.481
31071,07/31/21 05:00:00 午前,27.333
31072,07/31/21 06:00:00 午前,27.284
31073,07/31/21 07:00:00 午前,27.284
31074,07/31/21 08:00:00 午前,27.382
31075,07/31/21 09:00:00 午前,27.431
31076,07/31/21 10:00:00 午前,27.604
31077,07/31/21 11:00:00 午前,27.727
31078,07/31/21 12:00:00 午後,28.171
31079,07/31/21 01:00:00 午後,28.097
31080,07/31/21 02:00:00 午後,27.924
31081,07/31/21 03:00:00 午後,27.628
31082,07/31/21 04:00:00 午後,27.53
31083,07/31/21 05:00:00 午後,27.53
31084,07/31/21 06:00:00 午後,27.554
31085,07/31/21 07:00:00 午後,27.677
31086,07/31/21 08:00:00 午後,27.456
31087,07/31/21 09:00:00 午後,27.382
31088,07/31/21 10:00:00 午後,28.122
31089,07/31/21 11:00:00 午後,28.568
31090,08/01/21 12:00:00 午前,27.825
31091,08/01/21 01:00:00 午前,28.072
31092,08/01/21 02:00:00 午前,28.295
31093,08/01/21 03:00:00 午前,28.32
31094,08/01/21 04:00:00 午前,28.171
31095,08/01/21 05:00:00 午前,28.245
31096,08/01/21 06:00:00 午前,28.122
31097,08/01/21 07:00:00 午前,28.023
31098,08/01/21 08:00:00 午前,28.048
31099,08/01/21 09:00:00 午前,28.023
31100,08/01/21 10:00:00 午前,28.023
31101,08/01/21 11:00:00 午前,28.023
31102,08/01/21 12:00:00 午後,28.27
31103,08/01/21 01:00:00 午後,28.493
31104,08/01/21 02:00:00 午後,28.394
31105,08/01/21 03:00:00 午後,28.444
31106,08/01/21 04:00:00 午後,28.171
31107,08/01/21 05:00:00 午後,28.097
31108,08/01/21 06:00:00 午後,28.072
31109,08/01/21 07:00:00 午後,28.27
31110,08/01/21 08:00:00 午後,28.32
31111,08/01/21 09:00:00 午後,28.245
31112,08/01/21 10:00:00 午後,27.949
31113,08/01/21 11:00:00 午後,27.776
31114,08/02/21 12:00:00 午前,27.924
31115,08/02/21 01:00:00 午前,27.899
31116,08/02/21 02:00:00 午前,28.072
31117,08/02/21 03:00:00 午前,28.196
31118,08/02/21 04:00:00 午前,28.345
31119,08/02/21 05:00:00 午前,28.493
31120,08/02/21 06:00:00 午前,28.617
31121,08/02/21 07:00:00 午前,28.742
31122,08/02/21 08:00:00 午前,28.816
31123,08/02/21 09:00:00 午前,28.692
31124,08/02/21 10:00:00 午前,28.221
31125,08/02/21 11:00:00 午前,28.171
31126,08/02/21 12:00:00 午後,28.27
31127,08/02/21 01:00:00 午後,28.394
31128,08/02/21 02:00:00 午後,28.468
31129,08/02/21 03:00:00 午後,28.543
31130,08/02/21 04:00:00 午後,28.593
31131,08/02/21 05:00:00 午後,28.543
31132,08/02/21 06:00:00 午後,28.196
31133,08/02/21 07:00:00 午後,28.444
31134,08/02/21 08:00:00 午後,28.171
31135,08/02/21 09:00:00 午後,28.122
31136,08/02/21 10:00:00 午後,28.072
31137,08/02/21 11:00:00 午後,28.196
31138,08/03/21 12:00:00 午前,28.221
31139,08/03/21 01:00:00 午前,28.196
31140,08/03/21 02:00:00 午前,28.122
31141,08/03/21 03:00:00 午前,28.072
31142,08/03/21 04:00:00 午前,27.998
31143,08/03/21 05:00:00 午前,28.221
31144,08/03/21 06:00:00 午前,28.32
31145,08/03/21 07:00:00 午前,28.122
31146,08/03/21 08:00:00 午前,28.147
31147,08/03/21 09:00:00 午前,28.295
31148,08/03/21 10:00:00 午前,28.419
31149,08/03/21 11:00:00 午前,28.568
31150,08/03/21 12:00:00 午後,28.642
31151,08/03/21 01:00:00 午後,28.27
31152,08/03/21 02:00:00 午後,28.196
31153,08/03/21 03:00:00 午後,28.221
31154,08/03/21 04:00:00 午後,28.196
31155,08/03/21 05:00:00 午後,27.801
31156,08/03/21 06:00:00 午後,27.85
31157,08/03/21 07:00:00 午後,27.899
31158,08/03/21 08:00:00 午後,27.899
31159,08/03/21 09:00:00 午後,27.974
31160,08/03/21 10:00:00 午後,28.023
31161,08/03/21 11:00:00 午後,27.776
31162,08/04/21 12:00:00 午前,27.653
31163,08/04/21 01:00:00 午前,27.628
31164,08/04/21 02:00:00 午前,27.727
31165,08/04/21 03:00:00 午前,27.801
31166,08/04/21 04:00:00 午前,27.801
31167,08/04/21 05:00:00 午前,27.702
31168,08/04/21 06:00:00 午前,27.776
31169,08/04/21 07:00:00 午前,27.825
31170,08/04/21 08:00:00 午前,27.825
31171,08/04/21 09:00:00 午前,27.924
31172,08/04/21 10:00:00 午前,27.801
31173,08/04/21 11:00:00 午前,27.825
31174,08/04/21 12:00:00 午後,27.825
31175,08/04/21 01:00:00 午後,27.949
31176,08/04/21 02:00:00 午後,27.974
31177,08/04/21 03:00:00 午後,28.023
31178,08/04/21 04:00:00 午後,28.147
31179,08/04/21 05:00:00 午後,28.196
31180,08/04/21 06:00:00 午後,28.221
31181,08/04/21 07:00:00 午後,28.221
31182,08/04/21 08:00:00 午後,28.072
31183,08/04/21 09:00:00 午後,27.628
31184,08/04/21 10:00:00 午後,28.072
31185,08/04/21 11:00:00 午後,28.122
31186,08/05/21 12:00:00 午前,28.171
31187,08/05/21 01:00:00 午前,28.196
31188,08/05/21 02:00:00 午前,28.171
31189,08/05/21 03:00:00 午前,28.147
31190,08/05/21 04:00:00 午前,28.196
31191,08/05/21 05:00:00 午前,28.221
31192,08/05/21 06:00:00 午前,28.245
31193,08/05/21 07:00:00 午前,28.072
31194,08/05/21 08:00:00 午前,27.998
31195,08/05/21 09:00:00 午前,28.122
31196,08/05/21 10:00:00 午前,28.245
31197,08/05/21 11:00:00 午前,28.245
31198,08/05/21 12:00:00 午後,27.949
31199,08/05/21 01:00:00 午後,27.998
31200,08/05/21 02:00:00 午後,27.801
31201,08/05/21 03:00:00 午後,27.751
31202,08/05/21 04:00:00 午後,27.751
31203,08/05/21 05:00:00 午後,27.801
31204,08/05/21 06:00:00 午後,27.85
31205,08/05/21 07:00:00 午後,27.899
31206,08/05/21 08:00:00 午後,27.924
31207,08/05/21 09:00:00 午後,27.899
31208,08/05/21 10:00:00 午後,27.875
31209,08/05/21 11:00:00 午後,27.924
31210,08/06/21 12:00:00 午前,27.924
31211,08/06/21 01:00:00 午前,27.949
31212,08/06/21 02:00:00 午前,27.998
31213,08/06/21 03:00:00 午前,28.023
31214,08/06/21 04:00:00 午前,27.259
31215,08/06/21 05:00:00 午前,27.407
31216,08/06/21 06:00:00 午前,27.825
31217,08/06/21 07:00:00 午前,27.924
31218,08/06/21 08:00:00 午前,28.122
31219,08/06/21 09:00:00 午前,28.196
31220,08/06/21 10:00:00 午前,28.221
31221,08/06/21 11:00:00 午前,28.221
31222,08/06/21 12:00:00 午後,27.998
31223,08/06/21 01:00:00 午後,27.875
31224,08/06/21 02:00:00 午後,27.85
31225,08/06/21 03:00:00 午後,27.358
31226,08/06/21 04:00:00 午後,27.284
31227,08/06/21 05:00:00 午後,27.087
31228,08/06/21 06:00:00 午後,27.112
31229,08/06/21 07:00:00 午後,27.014
31230,08/06/21 08:00:00 午後,27.063
31231,08/06/21 09:00:00 午後,27.087
31232,08/06/21 10:00:00 午後,27.087
31233,08/06/21 11:00:00 午後,27.161
31234,08/07/21 12:00:00 午前,27.21
31235,08/07/21 01:00:00 午前,27.333
31236,08/07/21 02:00:00 午前,27.505
31237,08/07/21 03:00:00 午前,27.628
31238,08/07/21 04:00:00 午前,27.875
31239,08/07/21 05:00:00 午前,27.974
31240,08/07/21 06:00:00 午前,28.023
31241,08/07/21 07:00:00 午前,28.048
31242,08/07/21 08:00:00 午前,28.048
31243,08/07/21 09:00:00 午前,28.023
31244,08/07/21 10:00:00 午前,27.899
31245,08/07/21 11:00:00 午前,27.776
31246,08/07/21 12:00:00 午後,27.924
31247,08/07/21 01:00:00 午後,27.949
31248,08/07/21 02:00:00 午後,28.023
31249,08/07/21 03:00:00 午後,28.048
31250,08/07/21 04:00:00 午後,28.048
31251,08/07/21 05:00:00 午後,27.974
31252,08/07/21 06:00:00 午後,27.974
31253,08/07/21 07:00:00 午後,28.023
31254,08/07/21 08:00:00 午後,27.949
31255,08/07/21 09:00:00 午後,27.998
31256,08/07/21 10:00:00 午後,28.072
31257,08/07/21 11:00:00 午後,28.072
31258,08/08/21 12:00:00 午前,28.072
31259,08/08/21 01:00:00 午前,28.072
31260,08/08/21 02:00:00 午前,28.072
31261,08/08/21 03:00:00 午前,28.023
31262,08/08/21 04:00:00 午前,28.048
31263,08/08/21 05:00:00 午前,28.097
31264,08/08/21 06:00:00 午前,28.122
31265,08/08/21 07:00:00 午前,28.171
31266,08/08/21 08:00:00 午前,28.171
31267,08/08/21 09:00:00 午前,28.171
31268,08/08/21 10:00:00 午前,28.072
31269,08/08/21 11:00:00 午前,28.048
31270,08/08/21 12:00:00 午後,27.924
31271,08/08/21 01:00:00 午後,28.122
31272,08/08/21 02:00:00 午後,28.171
31273,08/08/21 03:00:00 午後,28.171
31274,08/08/21 04:00:00 午後,28.221
31275,08/08/21 05:00:00 午後,28.245
31276,08/08/21 06:00:00 午後,28.32
31277,08/08/21 07:00:00 午後,28.394
31278,08/08/21 08:00:00 午後,28.419
31279,08/08/21 09:00:00 午後,28.023
31280,08/08/21 10:00:00 午後,28.27
31281,08/08/21 11:00:00 午後,28.444
31282,08/09/21 12:00:00 午前,28.147
31283,08/09/21 01:00:00 午前,28.295
31284,08/09/21 02:00:00 午前,28.444
31285,08/09/21 03:00:00 午前,28.468
31286,08/09/21 04:00:00 午前,28.518
31287,08/09/21 05:00:00 午前,28.568
31288,08/09/21 06:00:00 午前,28.543
31289,08/09/21 07:00:00 午前,28.543
31290,08/09/21 08:00:00 午前,28.568
31291,08/09/21 09:00:00 午前,28.568
31292,08/09/21 10:00:00 午前,28.543
31293,08/09/21 11:00:00 午前,28.518
31294,08/09/21 12:00:00 午後,28.518
31295,08/09/21 01:00:00 午後,28.518
31296,08/09/21 02:00:00 午後,28.518
31297,08/09/21 03:00:00 午後,28.072
31298,08/09/21 04:00:00 午後,27.407
31299,08/09/21 05:00:00 午後,27.456
31300,08/09/21 06:00:00 午後,27.53
31301,08/09/21 07:00:00 午後,27.974
31302,08/09/21 08:00:00 午後,28.295
31303,08/09/21 09:00:00 午後,27.85
31304,08/09/21 10:00:00 午後,27.112
31305,08/09/21 11:00:00 午後,27.727
31306,08/10/21 12:00:00 午前,28.023
31307,08/10/21 01:00:00 午前,27.949
31308,08/10/21 02:00:00 午前,28.122
31309,08/10/21 03:00:00 午前,27.974
31310,08/10/21 04:00:00 午前,28.171
31311,08/10/21 05:00:00 午前,28.295
31312,08/10/21 06:00:00 午前,28.023
31313,08/10/21 07:00:00 午前,28.023
31314,08/10/21 08:00:00 午前,28.122
31315,08/10/21 09:00:00 午前,28.221
31316,08/10/21 10:00:00 午前,27.431
31317,08/10/21 11:00:00 午前,27.998
31318,08/10/21 12:00:00 午後,27.825
31319,08/10/21 01:00:00 午後,27.85
31320,08/10/21 02:00:00 午後,27.875
31321,08/10/21 03:00:00 午後,27.998
31322,08/10/21 04:00:00 午後,28.122
31323,08/10/21 05:00:00 午後,28.221
31324,08/10/21 06:00:00 午後,28.295
31325,08/10/21 07:00:00 午後,28.27
31326,08/10/21 08:00:00 午後,28.394
31327,08/10/21 09:00:00 午後,28.394
31328,08/10/21 10:00:00 午後,28.171
31329,08/10/21 11:00:00 午後,28.221
31330,08/11/21 12:00:00 午前,27.702
31331,08/11/21 01:00:00 午前,27.875
31332,08/11/21 02:00:00 午前,27.924
31333,08/11/21 03:00:00 午前,27.53
31334,08/11/21 04:00:00 午前,27.554
31335,08/11/21 05:00:00 午前,27.875
31336,08/11/21 06:00:00 午前,27.875
31337,08/11/21 07:00:00 午前,27.949
31338,08/11/21 08:00:00 午前,27.801
31339,08/11/21 09:00:00 午前,27.825
31340,08/11/21 10:00:00 午前,27.825
31341,08/11/21 11:00:00 午前,28.023
31342,08/11/21 12:00:00 午後,27.481
31343,08/11/21 01:00:00 午後,27.998
31344,08/11/21 02:00:00 午後,28.023
31345,08/11/21 03:00:00 午後,28.048
31346,08/11/21 04:00:00 午後,28.048
31347,08/11/21 05:00:00 午後,28.023
31348,08/11/21 06:00:00 午後,28.023
31349,08/11/21 07:00:00 午後,28.023
31350,08/11/21 08:00:00 午後,28.072
31351,08/11/21 09:00:00 午後,28.122
31352,08/11/21 10:00:00 午後,27.949
31353,08/11/21 11:00:00 午後,27.998
31354,08/12/21 12:00:00 午前,28.023
31355,08/12/21 01:00:00 午前,28.122
31356,08/12/21 02:00:00 午前,27.407
31357,08/12/21 03:00:00 午前,27.481
31358,08/12/21 04:00:00 午前,27.604
31359,08/12/21 05:00:00 午前,27.949
31360,08/12/21 06:00:00 午前,27.998
31361,08/12/21 07:00:00 午前,28.048
31362,08/12/21 08:00:00 午前,28.122
31363,08/12/21 09:00:00 午前,27.974
31364,08/12/21 10:00:00 午前,28.122
31365,08/12/21 11:00:00 午前,28.072
31366,08/12/21 12:00:00 午後,28.072
31367,08/12/21 01:00:00 午後,27.875
31368,08/12/21 02:00:00 午後,28.023
31369,08/12/21 03:00:00 午後,28.122
31370,08/12/21 04:00:00 午後,28.147
31371,08/12/21 05:00:00 午後,28.122
31372,08/12/21 06:00:00 午後,28.097
31373,08/12/21 07:00:00 午後,28.122
31374,08/12/21 08:00:00 午後,28.122
31375,08/12/21 09:00:00 午後,28.097
31376,08/12/21 10:00:00 午後,28.097
31377,08/12/21 11:00:00 午後,27.875
31378,08/13/21 12:00:00 午前,28.048
31379,08/13/21 01:00:00 午前,28.097
31380,08/13/21 02:00:00 午前,28.122
31381,08/13/21 03:00:00 午前,28.147
31382,08/13/21 04:00:00 午前,28.171
31383,08/13/21 05:00:00 午前,27.801
31384,08/13/21 06:00:00 午前,28.147
31385,08/13/21 07:00:00 午前,28.171
31386,08/13/21 08:00:00 午前,28.196
31387,08/13/21 09:00:00 午前,28.196
31388,08/13/21 10:00:00 午前,28.221
31389,08/13/21 11:00:00 午前,28.147
31390,08/13/21 12:00:00 午後,28.048
31391,08/13/21 01:00:00 午後,28.072
31392,08/13/21 02:00:00 午後,28.072
31393,08/13/21 03:00:00 午後,28.048
31394,08/13/21 04:00:00 午後,28.072
31395,08/13/21 05:00:00 午後,28.048
31396,08/13/21 06:00:00 午後,28.048
31397,08/13/21 07:00:00 午後,28.072
31398,08/13/21 08:00:00 午後,28.097
31399,08/13/21 09:00:00 午後,28.048
31400,08/13/21 10:00:00 午後,28.048
31401,08/13/21 11:00:00 午後,28.072
31402,08/14/21 12:00:00 午前,28.048
31403,08/14/21 01:00:00 午前,28.072
31404,08/14/21 02:00:00 午前,27.998
31405,08/14/21 03:00:00 午前,28.072
31406,08/14/21 04:00:00 午前,28.023
31407,08/14/21 05:00:00 午前,28.072
31408,08/14/21 06:00:00 午前,28.072
31409,08/14/21 07:00:00 午前,28.072
31410,08/14/21 08:00:00 午前,28.097
31411,08/14/21 09:00:00 午前,28.097
31412,08/14/21 10:00:00 午前,28.147
31413,08/14/21 11:00:00 午前,28.122
31414,08/14/21 12:00:00 午後,28.072
31415,08/14/21 01:00:00 午後,28.122
31416,08/14/21 02:00:00 午後,28.122
31417,08/14/21 03:00:00 午後,28.122
31418,08/14/21 04:00:00 午後,28.122
31419,08/14/21 05:00:00 午後,28.122
31420,08/14/21 06:00:00 午後,28.122
31421,08/14/21 07:00:00 午後,28.122
31422,08/14/21 08:00:00 午後,28.122
31423,08/14/21 09:00:00 午後,28.122
31424,08/14/21 10:00:00 午後,28.122
31425,08/14/21 11:00:00 午後,28.122
31426,08/15/21 12:00:00 午前,28.122
31427,08/15/21 01:00:00 午前,28.122
31428,08/15/21 02:00:00 午前,28.122
31429,08/15/21 03:00:00 午前,28.122
31430,08/15/21 04:00:00 午前,28.072
31431,08/15/21 05:00:00 午前,28.072
31432,08/15/21 06:00:00 午前,28.072
31433,08/15/21 07:00:00 午前,28.072
31434,08/15/21 08:00:00 午前,28.072
31435,08/15/21 09:00:00 午前,28.072
31436,08/15/21 10:00:00 午前,28.072
31437,08/15/21 11:00:00 午前,28.072
31438,08/15/21 12:00:00 午後,28.072
31439,08/15/21 01:00:00 午後,28.072
31440,08/15/21 02:00:00 午後,28.072
31441,08/15/21 03:00:00 午後,28.072
31442,08/15/21 04:00:00 午後,28.072
31443,08/15/21 05:00:00 午後,28.097
31444,08/15/21 06:00:00 午後,28.072
31445,08/15/21 07:00:00 午後,28.072
31446,08/15/21 08:00:00 午後,28.072
31447,08/15/21 09:00:00 午後,28.072
31448,08/15/21 10:00:00 午後,28.048
31449,08/15/21 11:00:00 午後,28.072
31450,08/16/21 12:00:00 午前,28.048
31451,08/16/21 01:00:00 午前,27.998
31452,08/16/21 02:00:00 午前,28.048
31453,08/16/21 03:00:00 午前,28.048
31454,08/16/21 04:00:00 午前,28.023
31455,08/16/21 05:00:00 午前,28.048
31456,08/16/21 06:00:00 午前,28.048
31457,08/16/21 07:00:00 午前,27.727
31458,08/16/21 08:00:00 午前,27.924
31459,08/16/21 09:00:00 午前,27.801
31460,08/16/21 10:00:00 午前,27.949
31461,08/16/21 11:00:00 午前,27.974
31462,08/16/21 12:00:00 午後,27.998
31463,08/16/21 01:00:00 午後,27.974
31464,08/16/21 02:00:00 午後,27.974
31465,08/16/21 03:00:00 午後,27.949
31466,08/16/21 04:00:00 午後,28.097
31467,08/16/21 05:00:00 午後,28.097
31468,08/16/21 06:00:00 午後,28.048
31469,08/16/21 07:00:00 午後,27.456
31470,08/16/21 08:00:00 午後,27.998
31471,08/16/21 09:00:00 午後,28.023
31472,08/16/21 10:00:00 午後,28.048
31473,08/16/21 11:00:00 午後,28.097
31474,08/17/21 12:00:00 午前,28.122
31475,08/17/21 01:00:00 午前,27.727
31476,08/17/21 02:00:00 午前,27.579
31477,08/17/21 03:00:00 午前,27.998
31478,08/17/21 04:00:00 午前,27.924
31479,08/17/21 05:00:00 午前,28.048
31480,08/17/21 06:00:00 午前,26.989
31481,08/17/21 07:00:00 午前,27.776
31482,08/17/21 08:00:00 午前,27.974
31483,08/17/21 09:00:00 午前,28.023
31484,08/17/21 10:00:00 午前,28.023
31485,08/17/21 11:00:00 午前,28.048
31486,08/17/21 12:00:00 午後,28.072
31487,08/17/21 01:00:00 午後,27.949
31488,08/17/21 02:00:00 午後,28.048
31489,08/17/21 03:00:00 午後,28.072
31490,08/17/21 04:00:00 午後,28.072
31491,08/17/21 05:00:00 午後,28.097
31492,08/17/21 06:00:00 午後,28.097
31493,08/17/21 07:00:00 午後,28.122
31494,08/17/21 08:00:00 午後,28.122
31495,08/17/21 09:00:00 午後,28.122
31496,08/17/21 10:00:00 午後,27.974
31497,08/17/21 11:00:00 午後,27.899
31498,08/18/21 12:00:00 午前,27.899
31499,08/18/21 01:00:00 午前,27.924
31500,08/18/21 02:00:00 午前,27.85
31501,08/18/21 03:00:00 午前,27.85
31502,08/18/21 04:00:00 午前,27.825
31503,08/18/21 05:00:00 午前,27.85
31504,08/18/21 06:00:00 午前,27.801
31505,08/18/21 07:00:00 午前,27.776
31506,08/18/21 08:00:00 午前,27.825
31507,08/18/21 09:00:00 午前,27.825
31508,08/18/21 10:00:00 午前,27.801
31509,08/18/21 11:00:00 午前,27.825
31510,08/18/21 12:00:00 午後,27.825
31511,08/18/21 01:00:00 午後,27.825
31512,08/18/21 02:00:00 午後,27.776
31513,08/18/21 03:00:00 午後,27.776
31514,08/18/21 04:00:00 午後,27.801
31515,08/18/21 05:00:00 午後,27.85
31516,08/18/21 06:00:00 午後,27.875
31517,08/18/21 07:00:00 午後,27.899
31518,08/18/21 08:00:00 午後,27.702
31519,08/18/21 09:00:00 午後,27.727
31520,08/18/21 10:00:00 午後,27.382
31521,08/18/21 11:00:00 午後,27.456
31522,08/19/21 12:00:00 午前,27.604
31523,08/19/21 01:00:00 午前,27.456
31524,08/19/21 02:00:00 午前,27.579
31525,08/19/21 03:00:00 午前,27.431
31526,08/19/21 04:00:00 午前,27.407
31527,08/19/21 05:00:00 午前,27.579
31528,08/19/21 06:00:00 午前,27.604
31529,08/19/21 07:00:00 午前,27.604
31530,08/19/21 08:00:00 午前,27.505
31531,08/19/21 09:00:00 午前,27.554
31532,08/19/21 10:00:00 午前,27.579
31533,08/19/21 11:00:00 午前,27.53
31534,08/19/21 12:00:00 午後,27.481
31535,08/19/21 01:00:00 午後,27.554
31536,08/19/21 02:00:00 午後,27.579
31537,08/19/21 03:00:00 午後,27.554
31538,08/19/21 04:00:00 午後,27.112
31539,08/19/21 05:00:00 午後,27.382
31540,08/19/21 06:00:00 午後,27.431
31541,08/19/21 07:00:00 午後,26.744
31542,08/19/21 08:00:00 午後,27.333
31543,08/19/21 09:00:00 午後,27.53
31544,08/19/21 10:00:00 午後,27.579
31545,08/19/21 11:00:00 午後,27.604
31546,08/20/21 12:00:00 午前,27.628
31547,08/20/21 01:00:00 午前,27.456
31548,08/20/21 02:00:00 午前,27.456
31549,08/20/21 03:00:00 午前,27.456
31550,08/20/21 04:00:00 午前,27.53
31551,08/20/21 05:00:00 午前,27.53
31552,08/20/21 06:00:00 午前,27.505
31553,08/20/21 07:00:00 午前,27.333
31554,08/20/21 08:00:00 午前,26.989
31555,08/20/21 09:00:00 午前,27.358
31556,08/20/21 10:00:00 午前,27.53
31557,08/20/21 11:00:00 午前,27.186
31558,08/20/21 12:00:00 午後,27.481
31559,08/20/21 01:00:00 午後,27.259
31560,08/20/21 02:00:00 午後,27.284
31561,08/20/21 03:00:00 午後,27.431
31562,08/20/21 04:00:00 午後,27.456
31563,08/20/21 05:00:00 午後,27.505
31564,08/20/21 06:00:00 午後,27.579
31565,08/20/21 07:00:00 午後,27.53
31566,08/20/21 08:00:00 午後,27.53
31567,08/20/21 09:00:00 午後,27.259
31568,08/20/21 10:00:00 午後,27.481
31569,08/20/21 11:00:00 午後,27.579
31570,08/21/21 12:00:00 午前,27.358
31571,08/21/21 01:00:00 午前,26.646
31572,08/21/21 02:00:00 午前,26.695
31573,08/21/21 03:00:00 午前,27.136
31574,08/21/21 04:00:00 午前,27.21
31575,08/21/21 05:00:00 午前,27.284
31576,08/21/21 06:00:00 午前,27.186
31577,08/21/21 07:00:00 午前,27.235
31578,08/21/21 08:00:00 午前,27.21
31579,08/21/21 09:00:00 午前,27.333
31580,08/21/21 10:00:00 午前,27.382
31581,08/21/21 11:00:00 午前,27.456
31582,08/21/21 12:00:00 午後,27.308
31583,08/21/21 01:00:00 午後,27.53
31584,08/21/21 02:00:00 午後,27.604
31585,08/21/21 03:00:00 午後,27.653
31586,08/21/21 04:00:00 午後,27.604
31587,08/21/21 05:00:00 午後,27.554
31588,08/21/21 06:00:00 午後,27.456
31589,08/21/21 07:00:00 午後,27.456
31590,08/21/21 08:00:00 午後,26.842
31591,08/21/21 09:00:00 午後,27.136
31592,08/21/21 10:00:00 午後,27.358
31593,08/21/21 11:00:00 午後,27.333
31594,08/22/21 12:00:00 午前,26.646
31595,08/22/21 01:00:00 午前,27.112
31596,08/22/21 02:00:00 午前,27.235
31597,08/22/21 03:00:00 午前,27.235
31598,08/22/21 04:00:00 午前,27.284
31599,08/22/21 05:00:00 午前,27.186
31600,08/22/21 06:00:00 午前,27.038
31601,08/22/21 07:00:00 午前,27.063
31602,08/22/21 08:00:00 午前,26.916
31603,08/22/21 09:00:00 午前,26.598
31604,08/22/21 10:00:00 午前,26.793
31605,08/22/21 11:00:00 午前,26.842
31606,08/22/21 12:00:00 午後,26.818
31607,08/22/21 01:00:00 午後,27.038
31608,08/22/21 02:00:00 午後,27.186
31609,08/22/21 03:00:00 午後,27.284
31610,08/22/21 04:00:00 午後,27.259
31611,08/22/21 05:00:00 午後,26.842
31612,08/22/21 06:00:00 午後,26.891
31613,08/22/21 07:00:00 午後,27.112
31614,08/22/21 08:00:00 午後,27.333
31615,08/22/21 09:00:00 午後,25.72
31616,08/22/21 10:00:00 午後,25.525
31617,08/22/21 11:00:00 午後,26.134
31618,08/23/21 12:00:00 午前,27.505
31619,08/23/21 01:00:00 午前,26.426
31620,08/23/21 02:00:00 午前,26.426
31621,08/23/21 03:00:00 午前,27.038
31622,08/23/21 04:00:00 午前,27.161
31623,08/23/21 05:00:00 午前,26.989
31624,08/23/21 06:00:00 午前,27.235
31625,08/23/21 07:00:00 午前,27.038
31626,08/23/21 08:00:00 午前,27.235
31627,08/23/21 09:00:00 午前,27.186
31628,08/23/21 10:00:00 午前,27.161
31629,08/23/21 11:00:00 午前,26.646
31630,08/23/21 12:00:00 午後,26.744
31631,08/23/21 01:00:00 午後,26.818
31632,08/23/21 02:00:00 午後,26.842
31633,08/23/21 03:00:00 午後,26.695
31634,08/23/21 04:00:00 午後,26.671
31635,08/23/21 05:00:00 午後,27.235
31636,08/23/21 06:00:00 午後,27.382
31637,08/23/21 07:00:00 午後,27.776
31638,08/23/21 08:00:00 午後,27.358
31639,08/23/21 09:00:00 午後,26.916
31640,08/23/21 10:00:00 午後,26.916
31641,08/23/21 11:00:00 午後,25.939
31642,08/24/21 12:00:00 午前,27.481
31643,08/24/21 01:00:00 午前,27.628
31644,08/24/21 02:00:00 午前,27.53
31645,08/24/21 03:00:00 午前,26.28
31646,08/24/21 04:00:00 午前,27.259
31647,08/24/21 05:00:00 午前,26.622
31648,08/24/21 06:00:00 午前,27.014
31649,08/24/21 07:00:00 午前,26.867
31650,08/24/21 08:00:00 午前,26.818
31651,08/24/21 09:00:00 午前,27.186
31652,08/24/21 10:00:00 午前,27.333
31653,08/24/21 11:00:00 午前,27.579
31654,08/24/21 12:00:00 午後,27.21
31655,08/24/21 01:00:00 午後,27.407
31656,08/24/21 02:00:00 午後,27.136
31657,08/24/21 03:00:00 午後,26.72
31658,08/24/21 04:00:00 午後,27.579
31659,08/24/21 05:00:00 午後,27.702
31660,08/24/21 06:00:00 午後,27.653
31661,08/24/21 07:00:00 午後,27.579
31662,08/24/21 08:00:00 午後,27.702
31663,08/24/21 09:00:00 午後,26.989
31664,08/24/21 10:00:00 午後,27.456
31665,08/24/21 11:00:00 午後,27.431
31666,08/25/21 12:00:00 午前,27.284
31667,08/25/21 01:00:00 午前,27.554
31668,08/25/21 02:00:00 午前,27.382
31669,08/25/21 03:00:00 午前,26.72
31670,08/25/21 04:00:00 午前,26.965
31671,08/25/21 05:00:00 午前,26.989
31672,08/25/21 06:00:00 午前,27.407
31673,08/25/21 07:00:00 午前,27.554
31674,08/25/21 08:00:00 午前,27.284
31675,08/25/21 09:00:00 午前,26.573
31676,08/25/21 10:00:00 午前,27.014
31677,08/25/21 11:00:00 午前,27.382
31678,08/25/21 12:00:00 午後,26.646
31679,08/25/21 01:00:00 午後,27.604
31680,08/25/21 02:00:00 午後,27.776
31681,08/25/21 03:00:00 午後,27.776
31682,08/25/21 04:00:00 午後,27.85
31683,08/25/21 05:00:00 午後,27.702
31684,08/25/21 06:00:00 午後,27.949
31685,08/25/21 07:00:00 午後,27.998
31686,08/25/21 08:00:00 午後,28.023
31687,08/25/21 09:00:00 午後,27.653
31688,08/25/21 10:00:00 午後,27.801
31689,08/25/21 11:00:00 午後,27.974
31690,08/26/21 12:00:00 午前,27.407
31691,08/26/21 01:00:00 午前,28.072
31692,08/26/21 02:00:00 午前,27.284
31693,08/26/21 03:00:00 午前,26.036
31694,08/26/21 04:00:00 午前,26.475
31695,08/26/21 05:00:00 午前,27.604
31696,08/26/21 06:00:00 午前,27.382
31697,08/26/21 07:00:00 午前,28.072
31698,08/26/21 08:00:00 午前,28.048
31699,08/26/21 09:00:00 午前,27.924
31700,08/26/21 10:00:00 午前,27.727
