プロット タイトル: site21_spot011_2022,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054296, SEN S/N: 20054296, LBL: ℃)"
593,02/11/22 05:00:00 午前,17.082
594,02/11/22 06:00:00 午前,16.963
595,02/11/22 07:00:00 午前,17.106
596,02/11/22 08:00:00 午前,17.082
597,02/11/22 09:00:00 午前,16.939
598,02/11/22 10:00:00 午前,17.082
599,02/11/22 11:00:00 午前,17.249
600,02/11/22 12:00:00 午後,17.439
601,02/11/22 01:00:00 午後,17.582
602,02/11/22 02:00:00 午後,17.677
603,02/11/22 03:00:00 午後,17.724
604,02/11/22 04:00:00 午後,17.772
605,02/11/22 05:00:00 午後,17.748
606,02/11/22 06:00:00 午後,17.677
607,02/11/22 07:00:00 午後,17.582
608,02/11/22 08:00:00 午後,17.534
609,02/11/22 09:00:00 午後,17.51
610,02/11/22 10:00:00 午後,17.463
611,02/11/22 11:00:00 午後,17.391
612,02/12/22 12:00:00 午前,17.344
613,02/12/22 01:00:00 午前,17.225
614,02/12/22 02:00:00 午前,17.153
615,02/12/22 03:00:00 午前,17.082
616,02/12/22 04:00:00 午前,17.011
617,02/12/22 05:00:00 午前,16.987
618,02/12/22 06:00:00 午前,16.915
619,02/12/22 07:00:00 午前,16.82
620,02/12/22 08:00:00 午前,16.844
621,02/12/22 09:00:00 午前,16.868
622,02/12/22 10:00:00 午前,16.963
623,02/12/22 11:00:00 午前,17.082
624,02/12/22 12:00:00 午後,17.201
625,02/12/22 01:00:00 午後,17.296
626,02/12/22 02:00:00 午後,17.415
627,02/12/22 03:00:00 午後,17.534
628,02/12/22 04:00:00 午後,17.605
629,02/12/22 05:00:00 午後,17.629
630,02/12/22 06:00:00 午後,17.605
631,02/12/22 07:00:00 午後,17.582
632,02/12/22 08:00:00 午後,17.463
633,02/12/22 09:00:00 午後,17.415
634,02/12/22 10:00:00 午後,17.344
635,02/12/22 11:00:00 午後,17.225
636,02/13/22 12:00:00 午前,17.082
637,02/13/22 01:00:00 午前,17.106
638,02/13/22 02:00:00 午前,17.082
639,02/13/22 03:00:00 午前,17.082
640,02/13/22 04:00:00 午前,17.106
641,02/13/22 05:00:00 午前,17.082
642,02/13/22 06:00:00 午前,17.011
643,02/13/22 07:00:00 午前,16.987
644,02/13/22 08:00:00 午前,16.963
645,02/13/22 09:00:00 午前,16.963
646,02/13/22 10:00:00 午前,16.915
647,02/13/22 11:00:00 午前,16.939
648,02/13/22 12:00:00 午後,17.153
