プロット タイトル:site21_spot011_2020,,,,
番号,年/月/日,時間,午前/午後,水温データ
"318	",2020/2/1,7:00:00,"午後	",16.463
"319	",2020/2/1,8:00:00,"午後	",16.439
"320	",2020/2/1,9:00:00,"午後	",16.487
"321	",2020/2/1,10:00:00,"午後	",16.463
"322	",2020/2/1,11:00:00,"午後	",16.439
"323	",2020/2/2,12:00:00,"午前	",16.344
"324	",2020/2/2,1:00:00,"午前	",16.32
"325	",2020/2/2,2:00:00,"午前	",16.201
"326	",2020/2/2,3:00:00,"午前	",16.249
"327	",2020/2/2,4:00:00,"午前	",16.201
"328	",2020/2/2,5:00:00,"午前	",16.058
"329	",2020/2/2,6:00:00,"午前	",16.01
"330	",2020/2/2,7:00:00,"午前	",15.963
"331	",2020/2/2,8:00:00,"午前	",15.986
"332	",2020/2/2,9:00:00,"午前	",16.058
"333	",2020/2/2,10:00:00,"午前	",16.106
"334	",2020/2/2,11:00:00,"午前	",16.272
"335	",2020/2/2,12:00:00,"午後	",16.32
"336	",2020/2/2,1:00:00,"午後	",16.368
"337	",2020/2/2,2:00:00,"午後	",16.392
"338	",2020/2/2,3:00:00,"午後	",16.439
"339	",2020/2/2,4:00:00,"午後	",16.439
"340	",2020/2/2,5:00:00,"午後	",16.392
"341	",2020/2/2,6:00:00,"午後	",16.32
"342	",2020/2/2,7:00:00,"午後	",16.344
"343	",2020/2/2,8:00:00,"午後	",16.296
"344	",2020/2/2,9:00:00,"午後	",16.272
"345	",2020/2/2,10:00:00,"午後	",16.272
"346	",2020/2/2,11:00:00,"午後	",16.296
"347	",2020/2/3,12:00:00,"午前	",16.296
"348	",2020/2/3,1:00:00,"午前	",16.487
"349	",2020/2/3,2:00:00,"午前	",16.487
"350	",2020/2/3,3:00:00,"午前	",16.558
"351	",2020/2/3,4:00:00,"午前	",16.582
"352	",2020/2/3,5:00:00,"午前	",16.582
"353	",2020/2/3,6:00:00,"午前	",16.606
"354	",2020/2/3,7:00:00,"午前	",16.915
"355	",2020/2/3,8:00:00,"午前	",17.058
"356	",2020/2/3,9:00:00,"午前	",17.177
"357	",2020/2/3,10:00:00,"午前	",17.13
"358	",2020/2/3,11:00:00,"午前	",17.249
"359	",2020/2/3,12:00:00,"午後	",17.368
"360	",2020/2/3,1:00:00,"午後	",17.439
"361	",2020/2/3,2:00:00,"午後	",17.51
"362	",2020/2/3,3:00:00,"午後	",17.51
"363	",2020/2/3,4:00:00,"午後	",17.486
"364	",2020/2/3,5:00:00,"午後	",17.391
"365	",2020/2/3,6:00:00,"午後	",17.153
"366	",2020/2/3,7:00:00,"午後	",17.296
"367	",2020/2/3,8:00:00,"午後	",17.201
"368	",2020/2/3,9:00:00,"午後	",17.201
"369	",2020/2/3,10:00:00,"午後	",17.13
"370	",2020/2/3,11:00:00,"午後	",17.082
"371	",2020/2/4,12:00:00,"午前	",17.249
"372	",2020/2/4,1:00:00,"午前	",17.534
"373	",2020/2/4,2:00:00,"午前	",18.2
"374	",2020/2/4,3:00:00,"午前	",18.129
"375	",2020/2/4,4:00:00,"午前	",18.295
"376	",2020/2/4,5:00:00,"午前	",18.343
"377	",2020/2/4,6:00:00,"午前	",18.366
"378	",2020/2/4,7:00:00,"午前	",18.247
"379	",2020/2/4,8:00:00,"午前	",18.343
"380	",2020/2/4,9:00:00,"午前	",18.343
"381	",2020/2/4,10:00:00,"午前	",18.461
"382	",2020/2/4,11:00:00,"午前	",18.604
"383	",2020/2/4,12:00:00,"午後	",18.699
"384	",2020/2/4,1:00:00,"午後	",18.723
"385	",2020/2/4,2:00:00,"午後	",18.794
"386	",2020/2/4,3:00:00,"午後	",18.723
"387	",2020/2/4,4:00:00,"午後	",18.675
"388	",2020/2/4,5:00:00,"午後	",18.58
"389	",2020/2/4,6:00:00,"午後	",18.557
"390	",2020/2/4,7:00:00,"午後	",18.39
"391	",2020/2/4,8:00:00,"午後	",18.247
"392	",2020/2/4,9:00:00,"午後	",18.414
"393	",2020/2/4,10:00:00,"午後	",18.271
"394	",2020/2/4,11:00:00,"午後	",18.295
"395	",2020/2/5,12:00:00,"午前	",18.319
"396	",2020/2/5,1:00:00,"午前	",18.366
"397	",2020/2/5,2:00:00,"午前	",18.271
"398	",2020/2/5,3:00:00,"午前	",18.39
"399	",2020/2/5,4:00:00,"午前	",18.343
"400	",2020/2/5,5:00:00,"午前	",18.271
"401	",2020/2/5,6:00:00,"午前	",18.152
"402	",2020/2/5,7:00:00,"午前	",18.129
"403	",2020/2/5,8:00:00,"午前	",18.105
"404	",2020/2/5,9:00:00,"午前	",18.2
"405	",2020/2/5,10:00:00,"午前	",18.247
"406	",2020/2/5,11:00:00,"午前	",18.319
"407	",2020/2/5,12:00:00,"午後	",18.295
"408	",2020/2/5,1:00:00,"午後	",18.295
"409	",2020/2/5,2:00:00,"午後	",18.366
"410	",2020/2/5,3:00:00,"午後	",18.319
"411	",2020/2/5,4:00:00,"午後	",18.295
"412	",2020/2/5,5:00:00,"午後	",18.224
"413	",2020/2/5,6:00:00,"午後	",18.176
"414	",2020/2/5,7:00:00,"午後	",18.129
"415	",2020/2/5,8:00:00,"午後	",18.057
"416	",2020/2/5,9:00:00,"午後	",17.986
"417	",2020/2/5,10:00:00,"午後	",17.819
"418	",2020/2/5,11:00:00,"午後	",17.677
"419	",2020/2/6,12:00:00,"午前	",17.724
"420	",2020/2/6,1:00:00,"午前	",17.701
"421	",2020/2/6,2:00:00,"午前	",17.677
"422	",2020/2/6,3:00:00,"午前	",17.51
"423	",2020/2/6,4:00:00,"午前	",17.582
"424	",2020/2/6,5:00:00,"午前	",17.486
"425	",2020/2/6,6:00:00,"午前	",17.558
"426	",2020/2/6,7:00:00,"午前	",17.582
"427	",2020/2/6,8:00:00,"午前	",17.582
"428	",2020/2/6,9:00:00,"午前	",17.605
"429	",2020/2/6,10:00:00,"午前	",17.701
"430	",2020/2/6,11:00:00,"午前	",17.724
"431	",2020/2/6,12:00:00,"午後	",17.796
"432	",2020/2/6,1:00:00,"午後	",17.867
"433	",2020/2/6,2:00:00,"午後	",17.891
"434	",2020/2/6,3:00:00,"午後	",17.867
"435	",2020/2/6,4:00:00,"午後	",17.867
"436	",2020/2/6,5:00:00,"午後	",17.843
"437	",2020/2/6,6:00:00,"午後	",17.796
"438	",2020/2/6,7:00:00,"午後	",17.724
"439	",2020/2/6,8:00:00,"午後	",17.653
"440	",2020/2/6,9:00:00,"午後	",17.51
"441	",2020/2/6,10:00:00,"午後	",17.415
"442	",2020/2/6,11:00:00,"午後	",17.296
"443	",2020/2/7,12:00:00,"午前	",17.272
"444	",2020/2/7,1:00:00,"午前	",17.177
"445	",2020/2/7,2:00:00,"午前	",17.249
"446	",2020/2/7,3:00:00,"午前	",17.153
"447	",2020/2/7,4:00:00,"午前	",17.082
"448	",2020/2/7,5:00:00,"午前	",17.082
"449	",2020/2/7,6:00:00,"午前	",17.201
"450	",2020/2/7,7:00:00,"午前	",17.296
"451	",2020/2/7,8:00:00,"午前	",17.582
"452	",2020/2/7,9:00:00,"午前	",17.819
"453	",2020/2/7,10:00:00,"午前	",17.986
"454	",2020/2/7,11:00:00,"午前	",18.152
"455	",2020/2/7,12:00:00,"午後	",18.247
"456	",2020/2/7,1:00:00,"午後	",18.247
"457	",2020/2/7,2:00:00,"午後	",18.271
"458	",2020/2/7,3:00:00,"午後	",18.295
"459	",2020/2/7,4:00:00,"午後	",18.271
"460	",2020/2/7,5:00:00,"午後	",18.271
"461	",2020/2/7,6:00:00,"午後	",18.224
"462	",2020/2/7,7:00:00,"午後	",18.2
"463	",2020/2/7,8:00:00,"午後	",18.105
"464	",2020/2/7,9:00:00,"午後	",18.033
"465	",2020/2/7,10:00:00,"午後	",17.938
"466	",2020/2/7,11:00:00,"午後	",17.867
"467	",2020/2/8,12:00:00,"午前	",17.772
"468	",2020/2/8,1:00:00,"午前	",17.819
"469	",2020/2/8,2:00:00,"午前	",17.867
"470	",2020/2/8,3:00:00,"午前	",17.891
"471	",2020/2/8,4:00:00,"午前	",17.891
"472	",2020/2/8,5:00:00,"午前	",17.867
"473	",2020/2/8,6:00:00,"午前	",17.891
"474	",2020/2/8,7:00:00,"午前	",17.748
"475	",2020/2/8,8:00:00,"午前	",17.724
"476	",2020/2/8,9:00:00,"午前	",17.701
"477	",2020/2/8,10:00:00,"午前	",17.796
"478	",2020/2/8,11:00:00,"午前	",17.938
"479	",2020/2/8,12:00:00,"午後	",18.081
"480	",2020/2/8,1:00:00,"午後	",18.176
"481	",2020/2/8,2:00:00,"午後	",18.247
"482	",2020/2/8,3:00:00,"午後	",18.271
"483	",2020/2/8,4:00:00,"午後	",18.271
"484	",2020/2/8,5:00:00,"午後	",18.224
"485	",2020/2/8,6:00:00,"午後	",18.176
"486	",2020/2/8,7:00:00,"午後	",18.105
"487	",2020/2/8,8:00:00,"午後	",18.057
"488	",2020/2/8,9:00:00,"午後	",18.01
"489	",2020/2/8,10:00:00,"午後	",17.843
"490	",2020/2/8,11:00:00,"午後	",17.629
"491	",2020/2/9,12:00:00,"午前	",17.486
"492	",2020/2/9,1:00:00,"午前	",17.463
"493	",2020/2/9,2:00:00,"午前	",17.486
