プロット タイトル:site22_spot011_2023,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011400, SEN S/N: 21011400)"
616,02/01/23 01:00:00 午前,17.082
617,02/01/23 02:00:00 午前,17.034
618,02/01/23 03:00:00 午前,16.963
619,02/01/23 04:00:00 午前,17.011
620,02/01/23 05:00:00 午前,17.082
621,02/01/23 06:00:00 午前,17.082
622,02/01/23 07:00:00 午前,17.082
623,02/01/23 08:00:00 午前,17.082
624,02/01/23 09:00:00 午前,17.082
625,02/01/23 10:00:00 午前,17.082
626,02/01/23 11:00:00 午前,17.296
627,02/01/23 12:00:00 午後,17.344
628,02/01/23 01:00:00 午後,17.51
629,02/01/23 02:00:00 午後,17.629
630,02/01/23 03:00:00 午後,17.677
631,02/01/23 04:00:00 午後,17.701
632,02/01/23 05:00:00 午後,17.724
633,02/01/23 06:00:00 午後,17.701
634,02/01/23 07:00:00 午後,17.677
635,02/01/23 08:00:00 午後,17.51
636,02/01/23 09:00:00 午後,17.51
637,02/01/23 10:00:00 午後,17.51
638,02/01/23 11:00:00 午後,17.486
639,02/02/23 12:00:00 午前,17.486
640,02/02/23 01:00:00 午前,17.391
641,02/02/23 02:00:00 午前,17.344
642,02/02/23 03:00:00 午前,17.32
643,02/02/23 04:00:00 午前,17.32
644,02/02/23 05:00:00 午前,17.272
645,02/02/23 06:00:00 午前,17.296
646,02/02/23 07:00:00 午前,17.296
647,02/02/23 08:00:00 午前,17.296
648,02/02/23 09:00:00 午前,17.368
649,02/02/23 10:00:00 午前,17.439
650,02/02/23 11:00:00 午前,17.558
651,02/02/23 12:00:00 午後,17.724
