プロット タイトル: site05_spot014_2020,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20523064, SEN S/N: 20523064)",カプラー取り外し (LGR S/N: 20523064),カプラー取り付け (LGR S/N: 20523064),ホスト接続 (LGR S/N: 20523064),ファイルの終わり (LGR S/N: 20523064)
9797,04/17/20 02:00:00 午前,22.345,,,,
9798,04/17/20 02:30:00 午前,22.345,,,,
9799,04/17/20 03:00:00 午前,22.345,,,,
9800,04/17/20 03:30:00 午前,22.321,,,,
9801,04/17/20 04:00:00 午前,22.321,,,,
9802,04/17/20 04:30:00 午前,22.298,,,,
9803,04/17/20 05:00:00 午前,22.298,,,,
9804,04/17/20 05:30:00 午前,22.298,,,,
9805,04/17/20 06:00:00 午前,22.298,,,,
9806,04/17/20 06:30:00 午前,22.298,,,,
9807,04/17/20 07:00:00 午前,22.298,,,,
9808,04/17/20 07:30:00 午前,22.321,,,,
9809,04/17/20 08:00:00 午前,22.345,,,,
9810,04/17/20 08:30:00 午前,22.345,,,,
9811,04/17/20 09:00:00 午前,22.369,,,,
9812,04/17/20 09:30:00 午前,22.393,,,,
9813,04/17/20 10:00:00 午前,22.417,,,,
9814,04/17/20 10:30:00 午前,22.441,,,,
9815,04/17/20 11:00:00 午前,22.465,,,,
9816,04/17/20 11:30:00 午前,22.489,,,,
9817,04/17/20 12:00:00 午後,22.537,,,,
9818,04/17/20 12:30:00 午後,22.585,,,,
9819,04/17/20 01:00:00 午後,22.609,,,,
9820,04/17/20 01:30:00 午後,22.657,,,,
9821,04/17/20 02:00:00 午後,22.681,,,,
9822,04/17/20 02:30:00 午後,22.705,,,,
9823,04/17/20 03:00:00 午後,22.753,,,,
9824,04/17/20 03:30:00 午後,22.776,,,,
9825,04/17/20 04:00:00 午後,22.753,,,,
9826,04/17/20 04:30:00 午後,22.729,,,,
9827,04/17/20 05:00:00 午後,22.753,,,,
9828,04/17/20 05:30:00 午後,22.753,,,,
9829,04/17/20 06:00:00 午後,22.824,,,,
9830,04/17/20 06:30:00 午後,22.968,,,,
9831,04/17/20 07:00:00 午後,23.016,,,,
9832,04/17/20 07:30:00 午後,22.992,,,,
9833,04/17/20 08:00:00 午後,22.896,,,,
9834,04/17/20 08:30:00 午後,22.896,,,,
9835,04/17/20 09:00:00 午後,22.896,,,,
9836,04/17/20 09:30:00 午後,22.896,,,,
9837,04/17/20 10:00:00 午後,22.872,,,,
9838,04/17/20 10:30:00 午後,22.872,,,,
9839,04/17/20 11:00:00 午後,22.872,,,,
9840,04/17/20 11:30:00 午後,22.872,,,,
9841,04/18/20 12:00:00 午前,22.872,,,,
9842,04/18/20 12:30:00 午前,22.872,,,,
9843,04/18/20 01:00:00 午前,22.872,,,,
9844,04/18/20 01:30:00 午前,22.848,,,,
9845,04/18/20 02:00:00 午前,22.824,,,,
9846,04/18/20 02:30:00 午前,22.824,,,,
9847,04/18/20 03:00:00 午前,22.824,,,,
9848,04/18/20 03:30:00 午前,22.824,,,,
9849,04/18/20 04:00:00 午前,22.824,,,,
9850,04/18/20 04:30:00 午前,22.824,,,,
9851,04/18/20 05:00:00 午前,22.848,,,,
9852,04/18/20 05:30:00 午前,22.872,,,,
9853,04/18/20 06:00:00 午前,22.944,,,,
9854,04/18/20 06:30:00 午前,22.92,,,,
9855,04/18/20 07:00:00 午前,22.872,,,,
9856,04/18/20 07:30:00 午前,22.872,,,,
9857,04/18/20 08:00:00 午前,22.8,,,,
9858,04/18/20 08:30:00 午前,22.609,,,,
9859,04/18/20 09:00:00 午前,22.513,,,,
9860,04/18/20 09:30:00 午前,22.465,,,,
9861,04/18/20 10:00:00 午前,22.633,,,,
9862,04/18/20 10:30:00 午前,22.729,,,,
9863,04/18/20 11:00:00 午前,22.633,,,,
9864,04/18/20 11:30:00 午前,22.729,,,,
9865,04/18/20 12:00:00 午後,22.8,,,,
9866,04/18/20 12:30:00 午後,22.824,,,,
9867,04/18/20 01:00:00 午後,22.872,,,,
9868,04/18/20 01:30:00 午後,22.92,,,,
9869,04/18/20 02:00:00 午後,22.944,,,,
9870,04/18/20 02:30:00 午後,22.968,,,,
9871,04/18/20 03:00:00 午後,22.992,,,,
9872,04/18/20 03:30:00 午後,23.016,,,,
9873,04/18/20 04:00:00 午後,23.04,,,,
9874,04/18/20 04:30:00 午後,23.04,,,,
9875,04/18/20 05:00:00 午後,23.04,,,,
9876,04/18/20 05:30:00 午後,23.016,,,,
9877,04/18/20 06:00:00 午後,22.992,,,,
9878,04/18/20 06:30:00 午後,22.992,,,,
9879,04/18/20 07:00:00 午後,22.992,,,,
9880,04/18/20 07:30:00 午後,23.064,,,,
9881,04/18/20 08:00:00 午後,23.064,,,,
9882,04/18/20 08:30:00 午後,23.04,,,,
9883,04/18/20 09:00:00 午後,23.016,,,,
9884,04/18/20 09:30:00 午後,23.04,,,,
9885,04/18/20 10:00:00 午後,23.064,,,,
9886,04/18/20 10:30:00 午後,23.088,,,,
9887,04/18/20 11:00:00 午後,23.112,,,,
9888,04/18/20 11:30:00 午後,23.112,,,,
9889,04/19/20 12:00:00 午前,22.944,,,,
9890,04/19/20 12:30:00 午前,22.896,,,,
9891,04/19/20 01:00:00 午前,22.968,,,,
9892,04/19/20 01:30:00 午前,22.944,,,,
9893,04/19/20 02:00:00 午前,22.968,,,,
9894,04/19/20 02:30:00 午前,22.968,,,,
9895,04/19/20 03:00:00 午前,22.992,,,,
9896,04/19/20 03:30:00 午前,22.992,,,,
9897,04/19/20 04:00:00 午前,22.992,,,,
9898,04/19/20 04:30:00 午前,22.992,,,,
9899,04/19/20 05:00:00 午前,22.968,,,,
9900,04/19/20 05:30:00 午前,22.968,,,,
9901,04/19/20 06:00:00 午前,22.968,,,,
9902,04/19/20 06:30:00 午前,22.489,,,,
9903,04/19/20 07:00:00 午前,22.417,,,,
9904,04/19/20 07:30:00 午前,22.824,,,,
9905,04/19/20 08:00:00 午前,22.968,,,,
9906,04/19/20 08:30:00 午前,22.968,,,,
9907,04/19/20 09:00:00 午前,22.968,,,,
9908,04/19/20 09:30:00 午前,22.992,,,,
9909,04/19/20 10:00:00 午前,22.992,,,,
9910,04/19/20 10:30:00 午前,22.824,,,,
9911,04/19/20 11:00:00 午前,22.776,,,,
9912,04/19/20 11:30:00 午前,22.776,,,,
9913,04/19/20 12:00:00 午後,22.824,,,,
9914,04/19/20 12:30:00 午後,22.537,,,,
9915,04/19/20 01:00:00 午後,22.657,,,,
9916,04/19/20 01:30:00 午後,22.609,,,,
9917,04/19/20 02:00:00 午後,22.657,,,,
9918,04/19/20 02:30:00 午後,22.681,,,,
9919,04/19/20 03:00:00 午後,22.729,,,,
9920,04/19/20 03:30:00 午後,22.824,,,,
9921,04/19/20 04:00:00 午後,22.776,,,,
9922,04/19/20 04:30:00 午後,22.681,,,,
9923,04/19/20 05:00:00 午後,22.8,,,,
9924,04/19/20 05:30:00 午後,22.872,,,,
9925,04/19/20 06:00:00 午後,22.872,,,,
9926,04/19/20 06:30:00 午後,22.896,,,,
9927,04/19/20 07:00:00 午後,22.944,,,,
9928,04/19/20 07:30:00 午後,22.992,,,,
9929,04/19/20 08:00:00 午後,23.208,,,,
9930,04/19/20 08:30:00 午後,23.497,,,,
9931,04/19/20 09:00:00 午後,23.28,,,,
9932,04/19/20 09:30:00 午後,23.472,,,,
9933,04/19/20 10:00:00 午後,23.424,,,,
9934,04/19/20 10:30:00 午後,23.304,,,,
9935,04/19/20 11:00:00 午後,23.304,,,,
9936,04/19/20 11:30:00 午後,23.304,,,,
9937,04/20/20 12:00:00 午前,23.328,,,,
9938,04/20/20 12:30:00 午前,23.352,,,,
9939,04/20/20 01:00:00 午前,23.352,,,,
9940,04/20/20 01:30:00 午前,23.328,,,,
9941,04/20/20 02:00:00 午前,23.208,,,,
9942,04/20/20 02:30:00 午前,23.232,,,,
9943,04/20/20 03:00:00 午前,23.184,,,,
9944,04/20/20 03:30:00 午前,23.16,,,,
9945,04/20/20 04:00:00 午前,23.184,,,,
9946,04/20/20 04:30:00 午前,23.112,,,,
9947,04/20/20 05:00:00 午前,23.136,,,,
9948,04/20/20 05:30:00 午前,23.208,,,,
9949,04/20/20 06:00:00 午前,23.304,,,,
9950,04/20/20 06:30:00 午前,23.328,,,,
9951,04/20/20 07:00:00 午前,23.352,,,,
9952,04/20/20 07:30:00 午前,23.352,,,,
9953,04/20/20 08:00:00 午前,23.352,,,,
9954,04/20/20 08:30:00 午前,23.352,,,,
9955,04/20/20 09:00:00 午前,23.352,,,,
9956,04/20/20 09:30:00 午前,23.376,,,,
9957,04/20/20 10:00:00 午前,23.352,,,,
9958,04/20/20 10:30:00 午前,23.328,,,,
9959,04/20/20 11:00:00 午前,23.304,,,,
9960,04/20/20 11:30:00 午前,23.28,,,,
9961,04/20/20 12:00:00 午後,23.256,,,,
9962,04/20/20 12:30:00 午後,23.256,,,,
9963,04/20/20 01:00:00 午後,23.256,,,,
9964,04/20/20 01:30:00 午後,23.256,,,,
9965,04/20/20 02:00:00 午後,23.256,,,,
9966,04/20/20 02:30:00 午後,23.256,,,,
9967,04/20/20 03:00:00 午後,23.256,,,,
9968,04/20/20 03:30:00 午後,23.232,,,,
9969,04/20/20 04:00:00 午後,23.136,,,,
9970,04/20/20 04:30:00 午後,23.04,,,,
9971,04/20/20 05:00:00 午後,23.04,,,,
9972,04/20/20 05:30:00 午後,22.968,,,,
9973,04/20/20 06:00:00 午後,22.968,,,,
9974,04/20/20 06:30:00 午後,22.968,,,,
9975,04/20/20 07:00:00 午後,22.896,,,,
9976,04/20/20 07:30:00 午後,22.848,,,,
9977,04/20/20 08:00:00 午後,22.824,,,,
9978,04/20/20 08:30:00 午後,22.753,,,,
9979,04/20/20 09:00:00 午後,22.705,,,,
9980,04/20/20 09:30:00 午後,22.705,,,,
9981,04/20/20 10:00:00 午後,22.681,,,,
9982,04/20/20 10:30:00 午後,22.681,,,,
9983,04/20/20 11:00:00 午後,22.681,,,,
9984,04/20/20 11:30:00 午後,22.657,,,,
9985,04/21/20 12:00:00 午前,22.633,,,,
9986,04/21/20 12:30:00 午前,22.633,,,,
9987,04/21/20 01:00:00 午前,22.633,,,,
9988,04/21/20 01:30:00 午前,22.633,,,,
9989,04/21/20 02:00:00 午前,22.633,,,,
9990,04/21/20 02:30:00 午前,22.633,,,,
9991,04/21/20 03:00:00 午前,22.657,,,,
9992,04/21/20 03:30:00 午前,22.657,,,,
9993,04/21/20 04:00:00 午前,22.681,,,,
9994,04/21/20 04:30:00 午前,22.657,,,,
9995,04/21/20 05:00:00 午前,22.657,,,,
9996,04/21/20 05:30:00 午前,22.657,,,,
9997,04/21/20 06:00:00 午前,22.657,,,,
9998,04/21/20 06:30:00 午前,22.657,,,,
9999,04/21/20 07:00:00 午前,22.657,,,,
10000,04/21/20 07:30:00 午前,22.657,,,,
10001,04/21/20 08:00:00 午前,22.657,,,,
10002,04/21/20 08:30:00 午前,22.657,,,,
10003,04/21/20 09:00:00 午前,22.657,,,,
10004,04/21/20 09:30:00 午前,22.657,,,,
10005,04/21/20 10:00:00 午前,22.681,,,,
10006,04/21/20 10:30:00 午前,22.681,,,,
10007,04/21/20 11:00:00 午前,22.705,,,,
10008,04/21/20 11:30:00 午前,22.729,,,,
10009,04/21/20 12:00:00 午後,22.824,,,,
10010,04/21/20 12:30:00 午後,22.872,,,,
10011,04/21/20 01:00:00 午後,22.848,,,,
10012,04/21/20 01:30:00 午後,22.848,,,,
10013,04/21/20 02:00:00 午後,22.92,,,,
10014,04/21/20 02:30:00 午後,22.896,,,,
10015,04/21/20 03:00:00 午後,22.729,,,,
10016,04/21/20 03:30:00 午後,22.776,,,,
10017,04/21/20 04:00:00 午後,22.705,,,,
10018,04/21/20 04:30:00 午後,22.681,,,,
10019,04/21/20 05:00:00 午後,22.657,,,,
10020,04/21/20 05:30:00 午後,22.657,,,,
10021,04/21/20 06:00:00 午後,22.657,,,,
10022,04/21/20 06:30:00 午後,22.657,,,,
10023,04/21/20 07:00:00 午後,22.657,,,,
10024,04/21/20 07:30:00 午後,22.681,,,,
10025,04/21/20 08:00:00 午後,22.657,,,,
10026,04/21/20 08:30:00 午後,22.657,,,,
10027,04/21/20 09:00:00 午後,22.633,,,,
10028,04/21/20 09:30:00 午後,22.633,,,,
10029,04/21/20 10:00:00 午後,22.633,,,,
10030,04/21/20 10:30:00 午後,22.609,,,,
10031,04/21/20 11:00:00 午後,22.609,,,,
10032,04/21/20 11:30:00 午後,22.633,,,,
10033,04/22/20 12:00:00 午前,22.633,,,,
10034,04/22/20 12:30:00 午前,22.633,,,,
10035,04/22/20 01:00:00 午前,22.681,,,,
10036,04/22/20 01:30:00 午前,22.705,,,,
10037,04/22/20 02:00:00 午前,22.681,,,,
10038,04/22/20 02:30:00 午前,22.681,,,,
10039,04/22/20 03:00:00 午前,22.681,,,,
10040,04/22/20 03:30:00 午前,22.657,,,,
10041,04/22/20 04:00:00 午前,22.585,,,,
10042,04/22/20 04:30:00 午前,22.561,,,,
10043,04/22/20 05:00:00 午前,22.561,,,,
10044,04/22/20 05:30:00 午前,22.537,,,,
10045,04/22/20 06:00:00 午前,22.489,,,,
10046,04/22/20 06:30:00 午前,22.441,,,,
10047,04/22/20 07:00:00 午前,22.417,,,,
10048,04/22/20 07:30:00 午前,22.417,,,,
10049,04/22/20 08:00:00 午前,22.369,,,,
10050,04/22/20 08:30:00 午前,22.393,,,,
10051,04/22/20 09:00:00 午前,22.393,,,,
10052,04/22/20 09:30:00 午前,22.441,,,,
10053,04/22/20 10:00:00 午前,22.489,,,,
10054,04/22/20 10:30:00 午前,22.513,,,,
10055,04/22/20 11:00:00 午前,22.489,,,,
10056,04/22/20 11:30:00 午前,22.489,,,,
10057,04/22/20 12:00:00 午後,22.465,,,,
10058,04/22/20 12:30:00 午後,22.465,,,,
10059,04/22/20 01:00:00 午後,22.489,,,,
10060,04/22/20 01:30:00 午後,22.513,,,,
10061,04/22/20 02:00:00 午後,22.513,,,,
10062,04/22/20 02:30:00 午後,22.513,,,,
10063,04/22/20 03:00:00 午後,22.513,,,,
10064,04/22/20 03:30:00 午後,22.465,,,,
10065,04/22/20 04:00:00 午後,22.417,,,,
10066,04/22/20 04:30:00 午後,22.345,,,,
10067,04/22/20 05:00:00 午後,22.274,,,,
10068,04/22/20 05:30:00 午後,22.25,,,,
10069,04/22/20 06:00:00 午後,22.226,,,,
10070,04/22/20 06:30:00 午後,22.178,,,,
10071,04/22/20 07:00:00 午後,22.13,,,,
10072,04/22/20 07:30:00 午後,22.13,,,,
10073,04/22/20 08:00:00 午後,22.13,,,,
10074,04/22/20 08:30:00 午後,22.13,,,,
10075,04/22/20 09:00:00 午後,22.13,,,,
10076,04/22/20 09:30:00 午後,22.13,,,,
10077,04/22/20 10:00:00 午後,22.178,,,,
10078,04/22/20 10:30:00 午後,22.202,,,,
10079,04/22/20 11:00:00 午後,22.226,,,,
10080,04/22/20 11:30:00 午後,22.274,,,,
10081,04/23/20 12:00:00 午前,22.274,,,,
10082,04/23/20 12:30:00 午前,22.298,,,,
10083,04/23/20 01:00:00 午前,22.298,,,,
10084,04/23/20 01:30:00 午前,22.298,,,,
10085,04/23/20 02:00:00 午前,22.298,,,,
10086,04/23/20 02:30:00 午前,22.298,,,,
10087,04/23/20 03:00:00 午前,22.298,,,,
10088,04/23/20 03:30:00 午前,22.298,,,,
10089,04/23/20 04:00:00 午前,22.274,,,,
10090,04/23/20 04:30:00 午前,22.274,,,,
10091,04/23/20 05:00:00 午前,22.25,,,,
10092,04/23/20 05:30:00 午前,22.25,,,,
10093,04/23/20 06:00:00 午前,22.25,,,,
10094,04/23/20 06:30:00 午前,22.226,,,,
10095,04/23/20 07:00:00 午前,22.202,,,,
10096,04/23/20 07:30:00 午前,22.202,,,,
10097,04/23/20 08:00:00 午前,22.178,,,,
10098,04/23/20 08:30:00 午前,22.202,,,,
10099,04/23/20 09:00:00 午前,22.202,,,,
10100,04/23/20 09:30:00 午前,22.226,,,,
10101,04/23/20 10:00:00 午前,22.321,,,,
10102,04/23/20 10:30:00 午前,22.345,,,,
10103,04/23/20 11:00:00 午前,22.345,,,,
10104,04/23/20 11:30:00 午前,22.345,,,,
10105,04/23/20 12:00:00 午後,22.345,,,,
10106,04/23/20 12:30:00 午後,22.345,,,,
10107,04/23/20 01:00:00 午後,22.345,,,,
10108,04/23/20 01:30:00 午後,22.345,,,,
10109,04/23/20 02:00:00 午後,22.345,,,,
10110,04/23/20 02:30:00 午後,22.345,,,,
10111,04/23/20 03:00:00 午後,22.345,,,,
10112,04/23/20 03:30:00 午後,22.345,,,,
10113,04/23/20 04:00:00 午後,22.345,,,,
10114,04/23/20 04:30:00 午後,22.345,,,,
10115,04/23/20 05:00:00 午後,22.345,,,,
10116,04/23/20 05:30:00 午後,22.321,,,,
10117,04/23/20 06:00:00 午後,22.345,,,,
10118,04/23/20 06:30:00 午後,22.321,,,,
10119,04/23/20 07:00:00 午後,22.321,,,,
10120,04/23/20 07:30:00 午後,22.321,,,,
10121,04/23/20 08:00:00 午後,22.298,,,,
10122,04/23/20 08:30:00 午後,22.298,,,,
10123,04/23/20 09:00:00 午後,22.274,,,,
10124,04/23/20 09:30:00 午後,22.25,,,,
10125,04/23/20 10:00:00 午後,22.25,,,,
10126,04/23/20 10:30:00 午後,22.25,,,,
10127,04/23/20 11:00:00 午後,22.226,,,,
10128,04/23/20 11:30:00 午後,22.25,,,,
10129,04/24/20 12:00:00 午前,22.274,,,,
10130,04/24/20 12:30:00 午前,22.274,,,,
10131,04/24/20 01:00:00 午前,22.25,,,,
10132,04/24/20 01:30:00 午前,22.25,,,,
10133,04/24/20 02:00:00 午前,22.25,,,,
10134,04/24/20 02:30:00 午前,22.226,,,,
10135,04/24/20 03:00:00 午前,22.226,,,,
10136,04/24/20 03:30:00 午前,22.226,,,,
10137,04/24/20 04:00:00 午前,22.202,,,,
10138,04/24/20 04:30:00 午前,22.202,,,,
10139,04/24/20 05:00:00 午前,22.178,,,,
10140,04/24/20 05:30:00 午前,22.178,,,,
10141,04/24/20 06:00:00 午前,22.178,,,,
10142,04/24/20 06:30:00 午前,22.178,,,,
10143,04/24/20 07:00:00 午前,22.178,,,,
10144,04/24/20 07:30:00 午前,22.154,,,,
10145,04/24/20 08:00:00 午前,22.154,,,,
10146,04/24/20 08:30:00 午前,22.13,,,,
10147,04/24/20 09:00:00 午前,22.13,,,,
10148,04/24/20 09:30:00 午前,22.13,,,,
10149,04/24/20 10:00:00 午前,22.13,,,,
10150,04/24/20 10:30:00 午前,22.13,,,,
10151,04/24/20 11:00:00 午前,22.154,,,,
10152,04/24/20 11:30:00 午前,22.178,,,,
10153,04/24/20 12:00:00 午後,22.202,,,,
10154,04/24/20 12:30:00 午後,22.202,,,,
10155,04/24/20 01:00:00 午後,22.226,,,,
10156,04/24/20 01:30:00 午後,22.202,,,,
10157,04/24/20 02:00:00 午後,22.226,,,,
10158,04/24/20 02:30:00 午後,22.226,,,,
10159,04/24/20 03:00:00 午後,22.202,,,,
10160,04/24/20 03:30:00 午後,22.178,,,,
10161,04/24/20 04:00:00 午後,22.154,,,,
10162,04/24/20 04:30:00 午後,22.13,,,,
10163,04/24/20 05:00:00 午後,22.106,,,,
10164,04/24/20 05:30:00 午後,22.034,,,,
10165,04/24/20 06:00:00 午後,22.034,,,,
10166,04/24/20 06:30:00 午後,21.987,,,,
10167,04/24/20 07:00:00 午後,21.963,,,,
10168,04/24/20 07:30:00 午後,21.987,,,,
10169,04/24/20 08:00:00 午後,21.987,,,,
10170,04/24/20 08:30:00 午後,22.011,,,,
10171,04/24/20 09:00:00 午後,22.011,,,,
10172,04/24/20 09:30:00 午後,22.034,,,,
10173,04/24/20 10:00:00 午後,22.011,,,,
10174,04/24/20 10:30:00 午後,21.987,,,,
10175,04/24/20 11:00:00 午後,21.963,,,,
10176,04/24/20 11:30:00 午後,21.963,,,,
10177,04/25/20 12:00:00 午前,21.963,,,,
10178,04/25/20 12:30:00 午前,21.963,,,,
10179,04/25/20 01:00:00 午前,21.963,,,,
10180,04/25/20 01:30:00 午前,21.963,,,,
10181,04/25/20 02:00:00 午前,21.963,,,,
10182,04/25/20 02:30:00 午前,21.963,,,,
10183,04/25/20 03:00:00 午前,21.939,,,,
10184,04/25/20 03:30:00 午前,21.939,,,,
10185,04/25/20 04:00:00 午前,21.939,,,,
10186,04/25/20 04:30:00 午前,21.939,,,,
10187,04/25/20 05:00:00 午前,21.963,,,,
10188,04/25/20 05:30:00 午前,21.939,,,,
10189,04/25/20 06:00:00 午前,21.939,,,,
10190,04/25/20 06:30:00 午前,21.939,,,,
10191,04/25/20 07:00:00 午前,21.891,,,,
10192,04/25/20 07:30:00 午前,21.891,,,,
10193,04/25/20 08:00:00 午前,21.915,,,,
10194,04/25/20 08:30:00 午前,21.939,,,,
10195,04/25/20 09:00:00 午前,21.963,,,,
10196,04/25/20 09:30:00 午前,21.987,,,,
10197,04/25/20 10:00:00 午前,22.011,,,,
10198,04/25/20 10:30:00 午前,22.034,,,,
10199,04/25/20 11:00:00 午前,22.082,,,,
10200,04/25/20 11:30:00 午前,22.13,,,,
10201,04/25/20 12:00:00 午後,22.13,,,,
10202,04/25/20 12:30:00 午後,22.154,,,,
10203,04/25/20 01:00:00 午後,22.154,,,,
10204,04/25/20 01:30:00 午後,22.178,,,,
10205,04/25/20 02:00:00 午後,22.226,,,,
10206,04/25/20 02:30:00 午後,22.274,,,,
10207,04/25/20 03:00:00 午後,22.25,,,,
10208,04/25/20 03:30:00 午後,22.226,,,,
10209,04/25/20 04:00:00 午後,22.202,,,,
10210,04/25/20 04:30:00 午後,22.154,,,,
10211,04/25/20 05:00:00 午後,22.154,,,,
10212,04/25/20 05:30:00 午後,22.13,,,,
10213,04/25/20 06:00:00 午後,22.13,,,,
10214,04/25/20 06:30:00 午後,22.106,,,,
10215,04/25/20 07:00:00 午後,22.154,,,,
10216,04/25/20 07:30:00 午後,22.178,,,,
10217,04/25/20 08:00:00 午後,22.178,,,,
10218,04/25/20 08:30:00 午後,22.034,,,,
10219,04/25/20 09:00:00 午後,21.987,,,,
10220,04/25/20 09:30:00 午後,22.034,,,,
10221,04/25/20 10:00:00 午後,22.034,,,,
10222,04/25/20 10:30:00 午後,22.058,,,,
10223,04/25/20 11:00:00 午後,22.106,,,,
10224,04/25/20 11:30:00 午後,22.154,,,,
10225,04/26/20 12:00:00 午前,22.178,,,,
10226,04/26/20 12:30:00 午前,22.202,,,,
10227,04/26/20 01:00:00 午前,22.202,,,,
10228,04/26/20 01:30:00 午前,22.178,,,,
10229,04/26/20 02:00:00 午前,22.178,,,,
10230,04/26/20 02:30:00 午前,22.202,,,,
10231,04/26/20 03:00:00 午前,22.226,,,,
10232,04/26/20 03:30:00 午前,22.226,,,,
10233,04/26/20 04:00:00 午前,22.226,,,,
10234,04/26/20 04:30:00 午前,22.226,,,,
10235,04/26/20 05:00:00 午前,22.226,,,,
10236,04/26/20 05:30:00 午前,22.25,,,,
10237,04/26/20 06:00:00 午前,22.25,,,,
10238,04/26/20 06:30:00 午前,22.226,,,,
10239,04/26/20 07:00:00 午前,22.226,,,,
10240,04/26/20 07:30:00 午前,22.226,,,,
10241,04/26/20 08:00:00 午前,22.202,,,,
10242,04/26/20 08:30:00 午前,22.13,,,,
10243,04/26/20 09:00:00 午前,22.13,,,,
10244,04/26/20 09:30:00 午前,22.106,,,,
10245,04/26/20 10:00:00 午前,22.106,,,,
10246,04/26/20 10:30:00 午前,22.082,,,,
10247,04/26/20 11:00:00 午前,22.034,,,,
10248,04/26/20 11:30:00 午前,22.011,,,,
10249,04/26/20 12:00:00 午後,22.082,,,,
10250,04/26/20 12:30:00 午後,22.082,,,,
10251,04/26/20 01:00:00 午後,22.058,,,,
10252,04/26/20 01:30:00 午後,22.082,,,,
10253,04/26/20 02:00:00 午後,22.106,,,,
10254,04/26/20 02:30:00 午後,22.082,,,,
10255,04/26/20 03:00:00 午後,22.082,,,,
10256,04/26/20 03:30:00 午後,22.058,,,,
10257,04/26/20 04:00:00 午後,22.082,,,,
10258,04/26/20 04:30:00 午後,22.106,,,,
10259,04/26/20 05:00:00 午後,22.106,,,,
10260,04/26/20 05:30:00 午後,22.106,,,,
10261,04/26/20 06:00:00 午後,22.106,,,,
10262,04/26/20 06:30:00 午後,22.106,,,,
10263,04/26/20 07:00:00 午後,22.082,,,,
10264,04/26/20 07:30:00 午後,22.082,,,,
10265,04/26/20 08:00:00 午後,22.082,,,,
10266,04/26/20 08:30:00 午後,22.082,,,,
10267,04/26/20 09:00:00 午後,22.058,,,,
10268,04/26/20 09:30:00 午後,22.034,,,,
10269,04/26/20 10:00:00 午後,22.011,,,,
10270,04/26/20 10:30:00 午後,21.963,,,,
10271,04/26/20 11:00:00 午後,21.939,,,,
10272,04/26/20 11:30:00 午後,22.011,,,,
10273,04/27/20 12:00:00 午前,22.011,,,,
10274,04/27/20 12:30:00 午前,21.987,,,,
10275,04/27/20 01:00:00 午前,21.963,,,,
10276,04/27/20 01:30:00 午前,21.987,,,,
10277,04/27/20 02:00:00 午前,21.987,,,,
10278,04/27/20 02:30:00 午前,21.987,,,,
10279,04/27/20 03:00:00 午前,22.011,,,,
10280,04/27/20 03:30:00 午前,22.011,,,,
10281,04/27/20 04:00:00 午前,22.011,,,,
10282,04/27/20 04:30:00 午前,22.011,,,,
10283,04/27/20 05:00:00 午前,22.011,,,,
10284,04/27/20 05:30:00 午前,21.987,,,,
10285,04/27/20 06:00:00 午前,21.987,,,,
10286,04/27/20 06:30:00 午前,21.987,,,,
10287,04/27/20 07:00:00 午前,21.987,,,,
10288,04/27/20 07:30:00 午前,21.987,,,,
10289,04/27/20 08:00:00 午前,21.843,,,,
10290,04/27/20 08:30:00 午前,21.557,,,,
10291,04/27/20 09:00:00 午前,21.294,,,,
10292,04/27/20 09:30:00 午前,21.223,,,,
10293,04/27/20 10:00:00 午前,21.151,,,,
10294,04/27/20 10:30:00 午前,21.27,,,,
10295,04/27/20 11:00:00 午前,21.318,,,,
10296,04/27/20 11:30:00 午前,21.581,,,,
10297,04/27/20 12:00:00 午後,22.034,,,,
10298,04/27/20 12:30:00 午後,22.082,,,,
10299,04/27/20 01:00:00 午後,22.058,,,,
10300,04/27/20 01:30:00 午後,22.011,,,,
10301,04/27/20 02:00:00 午後,21.939,,,,
10302,04/27/20 02:30:00 午後,21.891,,,,
10303,04/27/20 03:00:00 午後,21.843,,,,
10304,04/27/20 03:30:00 午後,21.795,,,,
10305,04/27/20 04:00:00 午後,21.891,,,,
10306,04/27/20 04:30:00 午後,21.819,,,,
10307,04/27/20 05:00:00 午後,21.891,,,,
10308,04/27/20 05:30:00 午後,21.939,,,,
10309,04/27/20 06:00:00 午後,21.963,,,,
10310,04/27/20 06:30:00 午後,21.963,,,,
10311,04/27/20 07:00:00 午後,21.987,,,,
10312,04/27/20 07:30:00 午後,21.987,,,,
10313,04/27/20 08:00:00 午後,21.987,,,,
10314,04/27/20 08:30:00 午後,21.987,,,,
10315,04/27/20 09:00:00 午後,21.987,,,,
10316,04/27/20 09:30:00 午後,21.963,,,,
10317,04/27/20 10:00:00 午後,21.891,,,,
10318,04/27/20 10:30:00 午後,21.772,,,,
10319,04/27/20 11:00:00 午後,21.7,,,,
10320,04/27/20 11:30:00 午後,21.509,,,,
10321,04/28/20 12:00:00 午前,21.366,,,,
10322,04/28/20 12:30:00 午前,21.246,,,,
10323,04/28/20 01:00:00 午前,21.079,,,,
10324,04/28/20 01:30:00 午前,20.889,,,,
10325,04/28/20 02:00:00 午前,20.889,,,,
10326,04/28/20 02:30:00 午前,21.533,,,,
10327,04/28/20 03:00:00 午前,21.652,,,,
10328,04/28/20 03:30:00 午前,21.199,,,,
